#Columbus,OH weather file for 2009,,,,,
# data obtained from http://www.wunderground.com/history/airport/KCMH,,,,,,
$state_name=Ohio,,,,,,
$city_name=Columbus,,,,,,
temperature,humidity,wind_speed,solar_dir,solar_diff,solar_global,
01:02:20:51:00,36,0.21,6.9,0,0,0
01:02:21:51:00,34,0.199,8.1,0,0,0
01:02:22:51:00,32,0.199,8.1,0,0,0
01:02:23:51:00,30,0.18,6.9,0,0,0
01:03:00:51:00,28,0.171,5.8,0,0,0
01:03:01:51:00,27,0.171,5.8,0,0,0
01:03:02:51:00,26.1,0.171,4.6,0,0,0
01:03:03:51:00,25,0.16,0,0,0,0
01:03:04:51:00,24.1,0.16,3.5,0,0,0
01:03:05:51:00,24.1,0.16,0,0,0,0
01:03:06:51:00,24.1,0.16,0,0,0,0
01:03:07:51:00,21.9,0.16,0,0,0,0
01:03:08:51:00,24.1,0.171,0,15.44,6.49,10.68
01:03:09:51:00,28.9,0.18,8.1,27.95,11.74,19.33
01:03:10:51:00,33.1,0.18,4.6,36.61,15.38,25.32
01:03:11:51:00,35.1,0.18,11.5,66.27,22.37,38.2
01:03:12:51:00,37.9,0.16,6.9,67.81,22.89,39.09
01:03:13:51:00,39.9,0.171,6.9,39.49,16.59,27.32
01:03:14:51:00,41,0.171,8.1,52.42,17.69,30.22
01:03:15:51:00,41,0.18,10.4,13.31,6.65,10.23
01:03:16:51:00,39,0.171,8.1,6.2,4.18,4.47
01:03:17:51:00,36,0.16,5.8,0,0,0
01:03:18:51:00,34,0.16,5.8,0,0,0
01:03:19:51:00,34,0.151,5.8,0,0,0
01:03:20:51:00,34,0.151,8.1,0,0,0
01:03:21:51:00,36,0.14,10.4,0,0,0
01:03:22:51:00,35.1,0.199,4.6,0,0,0
01:03:23:51:00,35.1,0.19,8.1,0,0,0
01:04:00:51:00,35.1,0.21,10.4,0,0,0
01:04:01:51:00,35.1,0.219,5.8,0,0,0
01:04:02:51:00,34,0.25,10.4,0,0,0
01:04:03:06:00,33.8,0.248,10.4,0,0,0
01:04:03:51:00,35.1,0.241,9.2,0,0,0
01:04:04:51:00,36,0.25,6.9,0,0,0
01:04:05:51:00,36,0.261,8.1,0,0,0
01:04:06:01:00,37.4,0.266,5.8,0,0,0
01:04:06:51:00,35.1,0.289,6.9,0,0,0
01:04:07:51:00,35.1,0.3,6.9,0,0,0
01:04:08:51:00,37,0.309,6.9,12.36,8.34,8.9
01:04:09:42:00,37.4,0.32,8.1,21.06,9.48,15.17
01:04:09:51:00,37,0.331,9.2,22.36,10.06,16.11
01:04:10:16:00,35.6,0.338,9.2,25.62,11.53,18.46
01:04:10:40:00,37.4,0.356,5.8,28.25,12.71,20.35
01:04:10:51:00,37,0.351,4.6,29.29,13.18,21.1
01:04:11:51:00,39,0.37,5.8,33.13,22.37,23.88
01:04:12:10:00,39.2,0.374,3.5,33.71,22.75,24.29
01:04:12:29:00,41,0.392,4.6,33.98,22.94,24.48
01:04:12:39:00,42.8,0.392,4.6,34,22.95,24.5
01:04:12:51:00,42.1,0.399,0,33.9,22.89,24.43
01:04:13:47:00,44.6,0.41,4.6,31.84,21.5,22.95
01:04:13:51:00,45,0.421,3.5,31.6,21.33,22.77
01:04:14:30:00,46.4,0.428,0,28.44,19.2,20.5
01:04:14:51:00,46,0.441,0,26.21,17.69,18.89
01:04:15:51:00,46,0.441,9.2,17.74,7.98,12.79
01:04:16:16:00,46.4,0.446,0,13.31,5.99,9.59
01:04:16:24:00,46.4,0.446,0,11.77,5.3,8.48
01:04:16:29:00,46.4,0.446,0,10.79,7.28,7.77
01:04:16:39:00,48.2,0.464,3.5,8.75,5.91,6.31
01:04:16:45:00,48.2,0.464,3.5,7.49,3.37,5.4
01:04:16:51:00,48.9,0.46,3.5,6.2,2.79,4.47
01:04:16:56:00,48.2,0.464,3.5,5.1,2.29,3.67
01:04:17:47:00,48.2,0.446,16.1,0,0,0
01:04:17:51:00,48,0.441,10.4,0,0,0
01:04:18:08:00,46.4,0.428,12.7,0,0,0
01:04:18:19:00,46.4,0.428,11.5,0,0,0
01:04:18:51:00,43,0.399,11.5,0,0,0
01:04:19:51:00,39.9,0.36,12.7,0,0,0
01:04:20:51:00,39,0.36,6.9,0,0,0
01:04:21:51:00,37.9,0.34,10.4,0,0,0
01:04:22:23:00,37.4,0.32,11.5,0,0,0
01:04:22:51:00,36,0.32,16.1,0,0,0
01:04:23:51:00,35.1,0.309,10.4,0,0,0
01:05:00:39:00,35.6,0.284,9.2,0,0,0
01:05:00:51:00,35.1,0.28,8.1,0,0,0
01:05:01:51:00,34,0.28,10.4,0,0,0
01:05:02:51:00,34,0.27,10.4,0,0,0
01:05:03:51:00,32,0.241,15,0,0,0
01:05:03:58:00,32,0.248,11.5,0,0,0
01:05:04:18:00,32,0.248,9.2,0,0,0
01:05:04:51:00,30.9,0.23,8.1,0,0,0
01:05:05:00:00,30.2,0.212,11.5,0,0,0
01:05:05:37:00,30.2,0.212,9.2,0,0,0
01:05:05:51:00,30,0.199,13.8,0,0,0
01:05:06:51:00,28.9,0.199,9.2,0,0,0
01:05:07:51:00,28,0.171,10.4,0,0,0
01:05:08:51:00,28,0.171,6.9,9.27,4.63,7.12
01:05:09:51:00,28,0.171,8.1,16.77,8.39,12.89
01:05:10:51:00,30,0.16,5.8,21.96,10.98,16.88
01:05:11:51:00,30.9,0.14,5.8,24.85,12.43,19.1
01:05:12:51:00,33.1,0.14,3.5,25.43,12.71,19.54
01:05:13:51:00,33.1,0.129,4.6,31.6,21.33,22.77
01:05:14:51:00,33.1,0.12,0,26.21,17.69,18.89
01:05:15:51:00,33.1,0.1,0,17.74,11.98,12.79
01:05:16:51:00,33.1,0.12,6.9,6.2,4.18,4.47
01:05:17:51:00,32,0.129,4.6,0,0,0
01:05:18:51:00,30.9,0.14,3.5,0,0,0
01:05:19:51:00,30,0.14,4.6,0,0,0
01:05:20:51:00,30,0.14,0,0,0,0
01:05:21:51:00,28.9,0.151,3.5,0,0,0
01:05:22:51:00,28.9,0.16,3.5,0,0,0
01:05:23:51:00,28.9,0.16,3.5,0,0,0
01:06:00:51:00,28.9,0.151,0,0,0,0
01:06:01:51:00,28,0.16,4.6,0,0,0
01:06:02:51:00,28.9,0.151,5.8,0,0,0
01:06:03:51:00,28.9,0.151,5.8,0,0,0
01:06:04:51:00,28.9,0.151,8.1,0,0,0
01:06:05:51:00,28.9,0.151,6.9,0,0,0
01:06:06:51:00,30,0.151,8.1,0,0,0
01:06:07:51:00,30.9,0.16,5.8,0,0,0
01:06:08:28:00,30.2,0.176,3.5,3.85,2.89,3.33
01:06:08:40:00,30.2,0.194,5.8,10.19,4.58,7.34
01:06:08:51:00,30.9,0.21,8.1,12.36,5.56,8.9
01:06:08:59:00,30.2,0.212,5.8,13.87,6.24,9.99
01:06:09:51:00,30.9,0.25,5.8,22.36,10.06,16.11
01:06:10:06:00,30.2,0.248,10.4,24.38,10.97,17.57
01:06:10:14:00,30.2,0.248,9.2,25.38,11.42,18.29
01:06:10:35:00,30.2,0.248,8.1,27.74,18.72,19.99
01:06:10:51:00,30.9,0.25,10.4,29.29,19.77,21.1
01:06:11:51:00,30.9,0.261,12.7,33.13,22.37,23.88
01:06:12:51:00,32,0.27,10.4,33.9,22.89,24.43
01:06:13:03:00,32,0.266,6.9,33.69,22.74,24.28
01:06:13:33:00,32,0.284,8.1,32.61,22.01,23.5
01:06:13:51:00,32,0.28,8.1,31.6,21.33,22.77
01:06:14:02:00,32,0.284,3.5,30.84,13.88,22.22
01:06:14:18:00,32,0.284,3.5,29.55,19.95,21.29
01:06:14:29:00,32,0.284,5.8,28.54,19.26,20.57
01:06:14:40:00,32,0.284,6.9,27.43,18.51,19.76
01:06:14:51:00,32,0.289,3.5,26.21,17.69,18.89
01:06:15:15:00,32,0.284,5.8,23.19,10.44,16.71
01:06:15:25:00,32,0.302,8.1,21.79,9.81,15.7
01:06:15:51:00,32,0.3,8.1,17.74,7.98,12.79
01:06:16:39:00,33.8,0.302,5.8,8.75,3.94,6.31
01:06:16:51:00,33.1,0.3,0,6.2,2.79,4.47
01:06:17:51:00,33.1,0.3,0,0,0,0
01:06:18:51:00,33.1,0.3,5.8,0,0,0
01:06:19:51:00,33.1,0.309,4.6,0,0,0
01:06:20:39:00,33.8,0.302,4.6,0,0,0
01:06:20:51:00,34,0.309,4.6,0,0,0
01:06:21:01:00,33.8,0.302,3.5,0,0,0
01:06:21:51:00,34,0.32,3.5,0,0,0
01:06:22:11:00,33.8,0.32,0,0,0,0
01:06:22:51:00,34,0.32,4.6,0,0,0
01:06:23:43:00,33.8,0.32,0,0,0,0
01:06:23:51:00,34,0.331,0,0,0,0
01:07:00:04:00,33.8,0.338,0,0,0,0
01:07:00:51:00,34,0.32,3.5,0,0,0
01:07:01:51:00,35.1,0.331,0,0,0,0
01:07:02:49:00,35.6,0.338,0,0,0,0
01:07:02:51:00,35.1,0.331,3.5,0,0,0
01:07:03:45:00,35.6,0.338,5.8,0,0,0
01:07:03:51:00,35.1,0.331,4.6,0,0,0
01:07:04:51:00,36,0.34,4.6,0,0,0
01:07:04:58:00,35.6,0.338,4.6,0,0,0
01:07:05:15:00,35.6,0.338,5.8,0,0,0
01:07:05:40:00,35.6,0.338,10.4,0,0,0
01:07:05:51:00,36,0.331,9.2,0,0,0
01:07:07:51:00,35.1,0.32,12.7,0,0,0
01:07:08:51:00,35.1,0.309,8.1,12.36,8.34,8.9
01:07:09:21:00,35.6,0.284,11.5,17.74,11.98,12.79
01:07:09:39:00,35.6,0.284,11.5,25.76,15.45,17.82
01:07:09:51:00,35.1,0.289,15,22.36,10.06,16.11
01:07:10:46:00,33.8,0.284,13.8,28.83,12.97,20.77
01:07:10:51:00,34,0.289,13.8,29.29,13.18,21.1
01:07:11:00:00,33.8,0.302,13.8,30.06,13.53,21.66
01:07:11:03:00,33.8,0.302,13.8,30.3,13.64,21.84
01:07:11:14:00,33.8,0.302,16.1,31.13,14.01,22.43
01:07:11:31:00,33.8,0.302,16.1,32.19,14.49,23.2
01:07:11:44:00,33.8,0.284,16.1,32.84,14.78,23.67
01:07:11:51:00,34,0.289,15,33.13,14.91,23.88
01:07:12:51:00,32,0.25,16.1,33.9,15.26,24.43
01:07:13:15:00,32,0.266,16.1,33.35,15.01,24.03
01:07:13:24:00,32,0.266,16.1,33.01,14.86,23.79
01:07:13:33:00,30.2,0.266,17.3,32.61,14.67,23.5
01:07:13:51:00,30.9,0.27,15,31.6,14.22,22.77
01:07:13:58:00,30.2,0.266,13.8,31.13,14.01,22.43
01:07:14:10:00,30.2,0.266,12.7,30.22,20.4,21.78
01:07:14:28:00,30.2,0.284,15,21.48,10.74,16.51
01:07:14:42:00,30.2,0.284,12.7,27.21,18.37,19.61
01:07:14:51:00,30.9,0.28,12.7,26.21,11.79,18.89
01:07:15:06:00,32,0.284,20.7,24.38,10.97,17.57
01:07:15:34:00,32,0.284,16.1,20.45,9.2,14.74
01:07:15:51:00,32,0.28,17.3,17.74,7.98,12.79
01:07:16:16:00,32,0.266,15,13.31,5.99,9.59
01:07:16:26:00,32,0.266,17.3,11.38,5.12,8.2
01:07:16:41:00,32,0.284,15,8.34,3.75,6.01
01:07:16:51:00,32,0.28,13.8,6.2,2.79,4.47
01:07:17:25:00,32,0.266,17.3,0,0,0
01:07:17:51:00,32,0.28,13.8,0,0,0
01:07:18:03:00,32,0.266,18.4,0,0,0
01:07:18:14:00,32,0.266,15,0,0,0
01:07:18:19:00,32,0.266,15,0,0,0
01:07:18:51:00,32,0.261,17.3,0,0,0
01:07:18:58:00,30.2,0.266,18.4,0,0,0
01:07:19:02:00,30.2,0.266,16.1,0,0,0
01:07:19:08:00,30.2,0.266,12.7,0,0,0
01:07:19:11:00,30.2,0.266,13.8,0,0,0
01:07:19:51:00,32,0.241,24.2,0,0,0
01:07:20:17:00,30.2,0.248,20.7,0,0,0
01:07:20:27:00,30.2,0.266,18.4,0,0,0
01:07:20:36:00,30.2,0.266,13.8,0,0,0
01:07:20:51:00,30,0.25,20.7,0,0,0
01:07:20:56:00,30.2,0.248,24.2,0,0,0
01:07:21:51:00,28.9,0.219,19.6,0,0,0
01:07:22:51:00,28,0.199,21.9,0,0,0
01:07:23:51:00,27,0.19,13.8,0,0,0
01:08:00:51:00,27,0.18,16.1,0,0,0
01:08:01:45:00,26.6,0.176,18.4,0,0,0
01:08:01:51:00,26.1,0.171,18.4,0,0,0
01:08:02:44:00,26.6,0.176,13.8,0,0,0
01:08:02:51:00,26.1,0.171,23,0,0,0
01:08:03:49:00,24.8,0.176,15,0,0,0
01:08:03:51:00,25,0.18,13.8,0,0,0
01:08:04:51:00,25,0.151,20.7,0,0,0
01:08:05:09:00,24.8,0.158,19.6,0,0,0
01:08:05:51:00,24.1,0.151,16.1,0,0,0
01:08:06:48:00,24.8,0.14,12.7,0,0,0
01:08:06:51:00,24.1,0.14,15,0,0,0
01:08:07:23:00,23,0.14,12.7,0,0,0
01:08:07:47:00,21.2,0.122,15,0,0,0
01:08:07:51:00,21.9,0.12,18.4,0,0,0
01:08:08:51:00,21,0.129,17.3,12.36,8.34,8.9
01:08:09:51:00,21,0.12,17.3,22.36,10.06,16.11
01:08:10:51:00,21,0.129,15,29.29,13.18,21.1
01:08:11:39:00,21.2,0.122,12.7,32.61,14.67,23.5
01:08:11:51:00,21,0.14,13.8,33.13,14.91,23.88
01:08:11:58:00,21.2,0.14,10.4,33.38,15.02,24.06
01:08:12:06:00,21.2,0.14,8.1,33.62,15.13,24.22
01:08:12:29:00,21.2,0.158,11.5,33.98,15.29,24.48
01:08:12:38:00,21.2,0.158,12.7,34,15.3,24.5
01:08:12:51:00,21,0.151,13.8,33.9,15.26,24.43
01:08:13:04:00,21.2,0.158,11.5,33.66,15.15,24.26
01:08:13:51:00,21,0.151,11.5,31.6,14.22,22.77
01:08:14:37:00,21.2,0.158,16.1,27.74,12.48,19.99
01:08:14:51:00,21.9,0.151,17.3,26.21,11.79,18.89
01:08:15:51:00,21.9,0.151,9.2,17.74,11.98,12.79
01:08:16:51:00,21.9,0.151,11.5,6.2,4.18,4.47
01:08:17:51:00,21.9,0.151,15,0,0,0
01:08:18:51:00,21.9,0.151,16.1,0,0,0
01:08:19:51:00,21,0.14,12.7,0,0,0
01:08:20:51:00,21,0.14,9.2,0,0,0
01:08:21:36:00,21.2,0.14,10.4,0,0,0
01:08:21:51:00,21,0.14,12.7,0,0,0
01:08:22:51:00,21.9,0.151,8.1,0,0,0
01:08:22:53:00,21.2,0.158,10.4,0,0,0
01:08:23:51:00,21.9,0.16,11.5,0,0,0
01:09:00:38:00,21.2,0.158,10.4,0,0,0
01:09:00:51:00,21.9,0.16,9.2,0,0,0
01:09:01:51:00,21.9,0.151,12.7,0,0,0
01:09:02:51:00,23,0.151,11.5,0,0,0
01:09:03:51:00,23,0.14,10.4,0,0,0
01:09:04:51:00,23,0.14,13.8,0,0,0
01:09:05:51:00,23,0.14,8.1,0,0,0
01:09:06:51:00,23,0.14,10.4,0,0,0
01:09:07:51:00,23,0.151,12.7,0,0,0
01:09:08:51:00,24.1,0.151,8.1,12.36,8.34,8.9
01:09:09:51:00,24.1,0.16,8.1,22.36,15.09,16.11
01:09:10:10:00,24.8,0.158,6.9,24.89,16.8,17.93
01:09:10:51:00,25,0.171,9.2,29.29,19.77,21.1
01:09:11:51:00,26.1,0.18,10.4,33.13,22.37,23.88
01:09:12:08:00,24.8,0.176,8.1,33.66,22.72,24.26
01:09:12:51:00,26.1,0.18,9.2,33.9,15.26,24.43
01:09:12:55:00,26.6,0.176,8.1,33.85,15.23,24.39
01:09:13:06:00,26.6,0.194,9.2,33.62,15.13,24.22
01:09:13:19:00,26.6,0.194,9.2,33.21,14.94,23.93
01:09:13:42:00,26.6,0.194,8.1,32.14,14.46,23.16
01:09:13:51:00,26.1,0.21,6.9,31.6,14.22,22.77
01:09:13:59:00,24.8,0.194,6.9,31.05,13.97,22.38
01:09:14:09:00,24.8,0.194,6.9,30.3,20.45,21.84
01:09:14:21:00,26.6,0.212,6.9,29.29,13.18,21.1
01:09:14:25:00,26.6,0.212,8.1,28.92,13.01,20.84
01:09:14:37:00,26.6,0.212,9.2,27.74,12.48,19.99
01:09:14:51:00,26.1,0.21,9.2,26.21,11.79,18.89
01:09:15:16:00,26.6,0.212,4.6,23.05,10.37,16.61
01:09:15:51:00,27,0.199,4.6,17.74,11.98,12.79
01:09:16:51:00,28,0.199,6.9,6.2,4.18,4.47
01:09:17:51:00,28,0.199,11.5,0,0,0
01:09:18:51:00,28,0.199,9.2,0,0,0
01:09:19:51:00,28,0.19,10.4,0,0,0
01:09:20:51:00,28,0.19,6.9,0,0,0
01:09:21:51:00,28.9,0.199,8.1,0,0,0
01:09:22:51:00,28.9,0.199,8.1,0,0,0
01:09:23:51:00,28.9,0.199,8.1,0,0,0
01:10:00:51:00,28.9,0.199,6.9,0,0,0
01:10:01:51:00,30,0.199,3.5,0,0,0
01:10:02:16:00,30.2,0.194,6.9,0,0,0
01:10:02:51:00,30,0.199,4.6,0,0,0
01:10:03:45:00,30.2,0.212,5.8,0,0,0
01:10:03:51:00,30,0.219,4.6,0,0,0
01:10:04:37:00,30.2,0.212,5.8,0,0,0
01:10:04:51:00,30,0.21,8.1,0,0,0
01:10:05:51:00,30,0.219,9.2,0,0,0
01:10:06:51:00,30.9,0.241,9.2,0,0,0
01:10:07:51:00,30.9,0.25,8.1,0,0,0
01:10:08:51:00,30.9,0.27,5.8,12.36,5.56,8.9
01:10:09:51:00,32,0.28,9.2,22.36,10.06,16.11
01:10:10:51:00,32,0.289,5.8,29.29,13.18,21.1
01:10:11:18:00,33.8,0.302,5.8,31.4,14.13,22.63
01:10:11:41:00,33.8,0.302,0,32.71,14.72,23.57
01:10:11:51:00,33.1,0.3,5.8,41.42,14.91,23.88
01:10:12:00:00,33.8,0.302,3.5,33.45,22.58,24.1
01:10:12:29:00,33.8,0.302,3.5,33.98,22.94,24.48
01:10:12:35:00,33.8,0.302,3.5,34,15.3,24.5
01:10:12:44:00,33.8,0.302,3.5,33.97,22.93,24.48
01:10:12:51:00,33.1,0.309,3.5,33.9,22.89,24.43
01:10:12:59:00,33.8,0.302,0,33.77,22.8,24.34
01:10:13:13:00,33.8,0.32,0,33.41,22.55,24.08
01:10:13:51:00,34,0.32,0,31.6,14.22,22.77
01:10:14:16:00,33.8,0.32,3.5,29.72,13.38,21.42
01:10:14:51:00,34,0.309,3.5,26.21,17.69,18.89
01:10:15:07:00,33.8,0.302,0,24.25,16.37,17.48
01:10:15:48:00,33.8,0.32,0,18.24,12.31,13.14
01:10:15:51:00,34,0.32,0,8.87,6.65,7.67
01:10:16:20:00,33.8,0.32,5.8,12.55,8.47,9.04
01:10:17:33:00,33.8,0.302,5.8,0,0,0
01:10:17:51:00,33.1,0.309,4.6,0,0,0
01:10:18:51:00,33.1,0.309,9.2,0,0,0
01:10:19:02:00,33.8,0.302,12.7,0,0,0
01:10:19:04:00,33.8,0.302,11.5,0,0,0
01:10:19:32:00,32,0.302,8.1,0,0,0
01:10:19:51:00,32,0.289,10.4,0,0,0
01:10:20:48:00,30.2,0.266,10.4,0,0,0
01:10:20:51:00,30,0.27,8.1,0,0,0
01:10:21:51:00,30,0.25,12.7,0,0,0
01:10:22:00:00,30.2,0.248,12.7,0,0,0
01:10:22:19:00,28.4,0.248,15,0,0,0
01:10:22:51:00,27,0.219,16.1,0,0,0
01:10:23:28:00,26.6,0.212,13.8,0,0,0
01:10:23:51:00,25,0.21,11.5,0,0,0
01:11:00:51:00,25,0.199,10.4,0,0,0
01:11:01:51:00,25,0.199,9.2,0,0,0
01:11:02:51:00,24.1,0.19,15,0,0,0
01:11:03:51:00,24.1,0.18,9.2,0,0,0
01:11:04:51:00,24.1,0.18,6.9,0,0,0
01:11:05:51:00,24.1,0.18,6.9,0,0,0
01:11:06:13:00,23,0.176,9.2,0,0,0
01:11:06:51:00,23,0.171,4.6,0,0,0
01:11:07:51:00,23,0.18,4.6,0,0,0
01:11:08:51:00,23,0.171,0,12.36,8.34,8.9
01:11:09:43:00,24.8,0.176,3.5,21.2,14.31,15.28
01:11:09:51:00,24.1,0.18,0,22.36,15.09,16.11
01:11:10:07:00,24.8,0.194,4.6,30.64,18.38,21.19
01:11:10:37:00,24.8,0.194,0,27.95,12.58,20.14
01:11:10:51:00,25,0.19,3.5,29.29,13.18,21.1
01:11:11:14:00,24.8,0.194,0,31.13,14.01,22.43
01:11:11:51:00,26.1,0.19,5.8,33.13,22.37,23.88
01:11:12:51:00,28,0.199,4.6,25.43,12.71,19.54
01:11:13:51:00,28,0.19,8.1,31.6,14.22,22.77
01:11:14:25:00,28.4,0.212,6.9,28.92,13.01,20.84
01:11:14:51:00,28,0.21,3.5,26.21,11.79,18.89
01:11:15:51:00,28,0.21,4.6,17.74,7.98,12.79
01:11:16:51:00,28,0.219,4.6,6.2,2.79,4.47
01:11:17:51:00,28.9,0.21,5.8,0,0,0
01:11:18:51:00,28,0.219,4.6,0,0,0
01:11:19:14:00,28.4,0.212,5.8,0,0,0
01:11:19:51:00,28.9,0.219,6.9,0,0,0
01:11:20:46:00,28.4,0.248,5.8,0,0,0
01:11:20:51:00,28,0.241,5.8,0,0,0
01:11:21:30:00,28.4,0.248,4.6,0,0,0
01:11:21:36:00,28.4,0.248,5.8,0,0,0
01:11:21:51:00,27,0.241,9.2,0,0,0
01:11:21:58:00,26.6,0.248,10.4,0,0,0
01:11:22:26:00,26.6,0.23,8.1,0,0,0
01:11:22:34:00,26.6,0.23,10.4,0,0,0
01:11:22:51:00,26.1,0.219,9.2,0,0,0
01:11:23:18:00,26.6,0.212,8.1,0,0,0
01:11:23:47:00,26.6,0.212,6.9,0,0,0
01:11:23:51:00,26.1,0.219,4.6,0,0,0
01:12:00:51:00,26.1,0.219,5.8,0,0,0
01:12:01:39:00,26.6,0.212,8.1,0,0,0
01:12:01:51:00,26.1,0.219,8.1,0,0,0
01:12:02:15:00,26.6,0.212,8.1,0,0,0
01:12:02:51:00,26.1,0.23,6.9,0,0,0
01:12:03:51:00,27,0.23,8.1,0,0,0
01:12:04:51:00,27,0.23,3.5,0,0,0
01:12:05:13:00,28.4,0.23,4.6,0,0,0
01:12:05:51:00,28,0.23,6.9,0,0,0
01:12:06:39:00,28.4,0.248,6.9,0,0,0
01:12:06:51:00,28,0.241,6.9,0,0,0
01:12:07:51:00,28,0.241,5.8,0,0,0
01:12:08:51:00,28,0.241,5.8,12.36,5.56,8.9
01:12:08:58:00,28.4,0.248,5.8,13.68,6.16,9.86
01:12:09:51:00,28.9,0.23,4.6,22.36,10.06,16.11
01:12:10:51:00,28.9,0.241,0,29.29,13.18,21.1
01:12:10:53:00,28.4,0.248,0,29.46,13.26,21.23
01:12:11:51:00,28,0.23,6.9,33.13,14.91,23.88
01:12:11:58:00,26.6,0.23,6.9,33.38,15.02,24.06
01:12:12:51:00,28,0.23,0,33.9,15.26,24.43
01:12:13:51:00,28.9,0.23,0,39.49,23.7,27.32
01:12:14:51:00,30.9,0.23,0,32.76,19.66,22.66
01:12:14:59:00,30.2,0.23,4.6,25.26,17.05,18.2
01:12:15:41:00,30.2,0.23,5.8,19.37,13.07,13.96
01:12:15:51:00,30.9,0.241,8.1,17.74,11.98,12.79
01:12:16:51:00,30.9,0.241,5.8,6.2,4.18,4.47
01:12:17:47:00,32,0.248,9.2,0,0,0
01:12:17:51:00,32,0.25,6.9,0,0,0
01:12:18:11:00,32,0.248,6.9,0,0,0
01:12:18:32:00,32,0.248,6.9,0,0,0
01:12:18:51:00,32,0.261,6.9,0,0,0
01:12:19:27:00,32,0.266,9.2,0,0,0
01:12:19:47:00,32,0.266,8.1,0,0,0
01:12:19:51:00,32,0.261,8.1,0,0,0
01:12:20:51:00,30.9,0.25,8.1,0,0,0
01:12:21:51:00,30.9,0.261,9.2,0,0,0
01:12:22:51:00,30,0.241,6.9,0,0,0
01:12:23:51:00,30.9,0.25,8.1,0,0,0
01:13:00:51:00,30.9,0.25,6.9,0,0,0
01:13:01:51:00,33.1,0.261,8.1,0,0,0
01:13:02:51:00,33.1,0.261,12.7,0,0,0
01:13:03:51:00,34,0.261,15,0,0,0
01:13:04:51:00,34,0.261,10.4,0,0,0
01:13:05:18:00,33.8,0.266,11.5,0,0,0
01:13:05:51:00,34,0.27,11.5,0,0,0
01:13:06:32:00,33.8,0.284,15,0,0,0
01:13:06:43:00,33.8,0.302,13.8,0,0,0
01:13:06:51:00,34,0.3,12.7,0,0,0
01:13:07:19:00,33.8,0.302,12.7,0,0,0
01:13:07:42:00,33.8,0.302,12.7,0,0,0
01:13:07:51:00,34,0.309,12.7,0,0,0
01:13:08:51:00,34,0.309,11.5,12.36,5.56,8.9
01:13:09:51:00,35.1,0.32,13.8,22.36,10.06,16.11
01:13:10:39:00,33.8,0.284,12.7,28.15,12.67,20.28
01:13:10:51:00,34,0.28,11.5,29.29,13.18,21.1
