ID #	Area	Main Heating System	Second Heating System - 1	Second Heating System - 2	Winter Tstat Setting - Daytime	Winter Tstat Setting - Nighttime	Home's Winter Temp	Programmable Tstat	Month Start Heating	Month Stop Heating	# of Tstats	Tstat Location	AC System	Summer AC Use	Summer Tstat Setting - Daytime	Summer Tstat Setting - Nighttime	Home's summer temp	Sq footage	Yr built	Refrigerator	Freezer	Clothes washer	Clothes dryer	Dishwasher	Stove/range	Microwave	PC	Large screen TV	Reg TV	Hot tub/spa	Swimming pool	Change Time Use of Diswasher	Change Time Use of Stove/range	Change Time Use of Microwave	Change Time Use of PC	Change Time Use of Lg screen TV	Change Time Use of Reg TV	Change Time Use of Hot tub/spa	Loads laundry per week	Temp setting for closther washer	Time laundry is done	Change laundry schedule	Showers/baths per week	Low-flow shower head	Change shower time	Water heater	Water heater timer	Amt of hot water	Water heater set	# of water heaters	Location of water heater	# of People Age 0 - 11	# of People Age 12 - 18	# of People Age 18 - 25	# of People Age 26 - 35	# of People Age 36 - 45	# of People Age 46 - 55	# of People Age 55 - 65	# of People Age 66 or Older	Income	Responsible Occupant - Gender	Responsible Occupant - Age	Responsible Occupant - Education	Responsible Occupant - Internet comfort level	
316	C	Electric heat pump, central forced air	Woodstove or fireplace		70	68	just right	Yes	September	May	1	Great room	Heat pump	Occasionally	68	68	Just right	2,000 – 2,499 sq. ft.	1990s	1	1	1	1	1	1	1	2	1	1			Yes	No	No	No	No	Yes		4 to 6 	Cold / Cold	At various times	Yes	16 to 20	Yes	No	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Linen Closet		1				2			$60,000 to $79,999	Female	46 to 55	Some college	Very comfortable	
325	C	Electric, central forced air			62	65	too cool	No	October	April	1	Main floor hallway	None	Never	off	off	Too warm	1,500 – 1,999 sq. ft.	1978-1989	x		x	x	x	x	x	x		x			Yes	Yes	Yes	Not sure	Blank	Yes	Blank	1 to 3	Warm / Cold	At various times	Yes	0 to 5	Not sure	Not sure	Electric	No	Usually sufficient	As hot as possible (160 F or more)	1	Laundry Room						1			Up to $19,999	Female	46 to 55	Some college	Very comfortable	
343	P	Electric heat pump, central forced air	Portable electric heater(s)		64	66	too cool	Yes	September	June	1	Main floor hallway	Heat pump	Occasionally	not sure	not sure	Blank	1,500 – 1,999 sq. ft.	2000s	1		1	1	1	1	1	2		1			Yes	Yes	Yes	No		Yes		1 to 3	Warm / Cold	At various times	Yes	6 to 10	Not sure	Not sure	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Garage							2		Don’t know	Female	55 to 65	Graduated college	Very comfortable	
347	C	Electric, central forced air	None		67	64	too cool	No	October	June	1	Mail floor living room	None	Don't have one	off	off	Too warm	1,500 – 1,999 sq. ft.	2000s	x	x	x	x	x	x	x	x		x			Yes	Not sure	No	Yes	Not applicable	Yes	Not applicable	4 to 6 	Warm / Cold	At various times	Yes	11 to 15	Yes	Not sure	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	laundry room							1	1	Refused	Female	66 or older	Graduated college	Very comfortable	
352	C	Electric heat pump, central forced air	None		65	69	too cool	Yes	November	April	1	Main Hallway	Heat pump	Occasionally	78	70	Just right	1,500 – 1,999 sq. ft.	2000s	2	1	1	1	1	1	1	3	1	4			Yes	Not sure	Not sure	No	No	Not sure		4 to 6 	Warm / Cold	At the same time of day	Yes	16 to 20	Yes	Not sure	Electric	No	Not usually sufficient	To prevent scalding (about 120 F)	1	Garage		2			1				$60,000 to $79,999	Male	36 to 45	Graduated college	Very comfortable	
358	C	Electric, central forced air	None		68	65	just right	No	November	Blank	1	Dining Room	None	Don't have one	off	off	Just right	1,500 – 1,999 sq. ft.	1990s	x	x	x	x	x	x	x	x		x	x		Yes	Not sure	Not sure	Yes	Blank	Yes	Yes	1 to 3	Warm / Cold	At various times	Yes	0 to 5	Yes	Yes	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Laundry Room									$40,000 to $59,999	Male	55 to 65	Some college	Very comfortable	
360	C	Other			68	58	just right	No	October	June	More than 2	Living room	None	Don't have one	off	off	Just right	2,500 – 2,999 sq. ft.	1990s	1	1	1	1	1	1	1	3	0	3	0	0	Yes	No	No	Yes	Blank	No	Not applicable	4 to 6 	Warm / Cold	At various times	Yes	6 to 10	Yes	No	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Laundry room								2	Refused	Male	66 or older	Graduated college	Very comfortable	
361	C	Electric heat pump, central forced air	Woodstove or fireplace		72	72	just right	Yes	September	June	1	Main floor Hallway	Heat pump	Occasionally	70	70	Too warm	1,500 – 1,999 sq. ft.	1978-1989	2	1	1	1	1	1	1	2	1	1	1	0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	7 to 9	Warm / Cold	At various times	Yes	16 to 20	Not sure	Yes	Electric	no	Usually sufficient	To prevent scalding (about 120 F)	1	Bedroom Closet		2				2			$80,000 to $99,999	Female	46 to 55	Some college	Very comfortable	
362	C	Electric heat pump, central forced air	None		68	62	just right	Yes	September	May	1	Living Room	Heat pump	Never	68	62	Just right	1,000 – 1,499 sq. ft.	Before 1950	1		1	1	1	1	1	1		1			Yes	Yes	Yes	Yes	Not applicable	Yes	Not applicable	4 to 6 	Warm / Cold	At various times	Yes	6 to 10	No	Yes	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Kitchen				1				1	$100,000 or more	Female	66 or older	Some college	Very comfortable	
366	C	Electric heat pump, central forced air	Portable electric heater(s)	Other	72	67	just right	Yes	Blank	October	1	Main floor hallway	Heat pump	Occasionally	72	72	Just right	2,000 – 2,499 sq. ft.	2000s	x		x	x	x	x	x	x		x			Yes	Yes	No	No	Not sure	Not sure	Not sure	4 to 6 	Warm / Cold	At various times	Yes	11 to 15	Yes	Yes	Electric	Not sure	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage									$60,000 to $79,999	Male	55 to 65	Graduated college	Very comfortable	
368	C	Electric, central forced air	Woodstove or fireplace		70	62	just right	Yes	November	April	1	Main floor hallway	None	Don't have one	88	88	Just right	1,000 – 1,499 sq. ft.	1978-1989	1	1	1	1	1	1	1	1	0	2	0	0	Yes	Yes	Yes	No	Blank	Yes	Not applicable	4 to 6 	Cold / Cold	At various times	Yes	6 to 10	Not sure	Yes	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage								2	$20,000 to $39,999	Male	66 or older	Some college	Very comfortable	
401	C	Electric heat pump, central forced air			65	68	just right	Yes	October	May	1	Main floor hallway	Heat pump	Occasionally	blank	blank	Blank	Blank	Blank																				Blank	Blank	Blank	Blank	Blank	Blank	Yes	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Basement									$40,000 to $59,999	Male	55 to 65	Some college	Very comfortable	
419	C	Electric, central forced air	Woodstove or fireplace		68	58	just right	No	October	May	1	Main floor hallway	None	Don't have one	off	off	Too warm	2,500 – 2,999 sq. ft.	1978-1989	1	1	1	1	1	1	1	1	0	1	0	0	Yes	Yes	Yes	No	Blank	Yes	Blank	1 to 3	Warm / Cold	At various times	Yes	0 to 5	Yes	Yes	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Basement								1	$60,000 to $79,999	Male	66 or older	Graduate college/professional school	Very comfortable	
429	C	Electric heat pump, central forced air	Electric heat pump, forced air	Woodstove or fireplace	70	64	just right	Yes	September	June	2	Master Bedroom	Heat pump	Occasionally	70	64	Just right	More than 3,500 sq. ft.	1978-1989	2	1	1	1	1	2	2	5	1	3			Yes	Yes	No	No	No	Blank	Not applicable	4 to 6 	Warm / Cold	At various times	Yes	11 to 15	Not sure	Not sure	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	2	Laundry Room							2		$60,000 to $79,999	Male	55 to 65	Graduate college/professional school	Very comfortable	
434	C	Electric heat pump, central forced air	None		68	63	just right	Yes	November	April	1	Main Hallway	Central forced air	Occasionally	72	off	Just right	2,000 – 2,499 sq. ft.	1990s	2	1	1	1	1	1	1	1	1	2	0	0	Yes	Not sure	Not sure	Yes	No	Yes	Not applicable	1 to 3	Warm / Cold	At various times	Yes	Blank	Yes	No	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Under House								2	$40,000 to $59,999	Male	66 or older	Some college	Not comfortable	
440	C	Electric heat pump, central forced air	Electric baseboard	Other	65	68	just right	Yes	October	April	1	Main floor hallway	Heat pump	Never	74	74	Just right	1,500 – 1,999 sq. ft.	Before 1950	x	x	x	x	x	x	x	x		x			Yes	Yes	Not sure	Not sure	Not applicable	No	Not applicable	4 to 6 	Warm / Cold	At various times	Yes	11 to 15	Yes	Yes	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Laundry/Utility Room						2			$60,000 to $79,999	Male	46 to 55	Graduate college/professional school	Very comfortable	
442	C	Electric, central forced air	Portable electric heater(s)		64	60	too cool	No	October	April	1	Main floor hallway	None	Don't have one	55	55	Just right	2,000 – 2,499 sq. ft.	1978-1989	x		x	x		x	x	x		x			Blank	Yes	Yes	Yes	Not applicable	Not sure	Not applicable	1 to 3	Warm / Cold	At various times	Yes	6 to 10	No	Not sure	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Storage Room									$60,000 to $79,999	Female	46 to 55	Graduated college	Very comfortable	
443	C	Electric, central forced air	Gas, oil, or propane central forced air		72	65	just right	No	October	July	2	Main floor hallway	wall or window unit(s)	Occasionally	off	off	Just right	1,500 – 1,999 sq. ft.	1990s	x	x	x	x	x	x	x	x		x			Yes	Not sure	Not sure	No	Not applicable	No	Not applicable	4 to 6 	Warm / Cold	At various times	Yes	11 to 15	No	Not sure	Electric	No	Usually sufficient	Blank	1	Bedroom Closet								3	$20,000 to $39,999	Male	66 or older	Trade or technical school	A little comfortable	
449	C	Electric heat pump, central forced air	Woodstove or fireplace		72	66	just right	Yes	September	May	1	Main floor hallway	Blank	Occasionally	off	off	Just right	1,500 – 1,999 sq. ft.	2000s	1	1	1	1	1	1	1	2	0	1	1	0	Yes	No	Yes	Yes	Not applicable	Yes	Yes	4 to 6 	Warm / Cold	At various times	Yes	11 to 15	Yes	Yes	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Garage						2			Refused	Male	46 to 55	Some college	Very comfortable	
452	C	Electric heat pump, central forced air	Woodstove or fireplace		65	60	just right	Yes	October	March	1	Main floor hallway	Central forced air	Occasionally	80	74	Too warm	3,000 – 3,499 sq. ft.	1990s	x	x	x	x	x	x	x	x		x	x		Yes	Yes	Yes	Not sure	Not applicable	Yes	Yes	None	Warm / Cold	At various times	Yes	0 to 5	Yes	Yes	Electric	Not sure	Usually sufficient	To wash hands comfortably (less than 120 F)	1	Downstairs							1		$60,000 to $79,999	Female	55 to 65	Graduated college	Very comfortable	
455	C	Electric heat pump, central forced air	Woodstove or fireplace		69	60	too cool	Yes	October	June	1	Living Room	Heat pump	Occasionally	76	76	Just right	3,000 – 3,499 sq. ft.	1990s	2	1	1	1	1	1	1	2	1	2	1	0	Yes	Not sure	Not sure	No	Yes	Not sure	Yes	1 to 3	Warm / Cold	At various times	Yes	6 to 10	Yes	Not sure	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage						1	1		$100,000 or more	Male	55 to 65	Graduate college/professional school	Very comfortable	
460	C	Electric heat pump, central forced air	Woodstove or fireplace		70	68	too warm	Yes	October	March	1	Main hallway	Heat pump	Occasionally	72	74	Just right	2,000 – 2,499 sq. ft.	2000s	2	1	1	1	1	1	1	2	1	3	1	0	Yes	Yes	Yes	Not sure	Not sure	Yes	Yes	4 to 6 	Warm / Cold	At various times	Yes	11 to 15	No	Not sure	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage							2		$80,000 to $99,999	Male	55 to 65	Some high school	A little comfortable	
462	C	Electric heat pump, central forced air	Woodstove or fireplace		68	64	just right	Yes	November	May	1	Main floor hallway	Heat pump	Occasionally	75	75	Just right	2,000 – 2,499 sq. ft.	1978-1989	x	x	x	x	x	x	x	x		x			Yes	Yes	Yes	No	Blank	No	Blank	1 to 3	Blank	At various times	Yes	0 to 5	No	Yes	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Main floor hall								2	$60,000 to $79,999	Male	66 or older	Graduate college/professional school	Very comfortable	
469	C	Electric, central forced air	Woodstove or fireplace		72	0	just right	Blank	Blank	Blank	1	(Blank)	None	Don't have one	0	0	Just right	1,000 – 1,499 sq. ft.	1970-1978	1	2	1	1	1	1	1	1	0	1	0	0	Yes	Yes	Not sure	Yes	Not applicable	Yes	Not applicable	4 to 6 	Warm / Cold	At various times	Not sure	0 to 5	Not sure	Yes	Electric	Not sure	Usually sufficient	Blank	1	Garage								x	$20,000 to $39,999	Female	66 or older	Some college	A little comfortable	
471	C	Electric heat pump, central forced air	None		63	63	just right	Yes	September	June	1	Main floor entryway	Heat pump	Occasionally	63	63	Just right	1,500 – 1,999 sq. ft.	1978-1989	2	1	1	1	1	1	1	1		3			Yes	Not sure	Yes	No	Blank	Not sure	Blank	10 or more	Warm / Cold	At various times	Yes	20 or more	Not sure	No	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage		3				2			$60,000 to $79,999	Male	46 to 55	Graduate college/professional school	Very comfortable	
526	P	Electric heat pump, central forced air	Woodstove or fireplace		63	63	just right	Yes	September	May	1	Main floor family room	Heat pump	Never	63	63	Too warm	2,000 – 2,499 sq. ft.	1978-1989	1	1	1	1	1	1	1	1		2	1	0	Yes	Not sure	Yes	Not sure		Not sure		1 to 3	Warm / Cold	At the same time of day	Yes	6 to 10	Yes	No	Electric	No	Usually sufficient	Blank	1	Hall closet						2			$80,000 to $99,999	Female	46 to 55	Some college	Very comfortable	
531	C	Electric heat pump, central forced air	None		71	68	just right	Yes	September	May	1	Main floor hallway	Heat pump	Occasionally	75	70	Just right	2,500 – 2,999 sq. ft.	1990s	1	1	1	1	1	1	1	2	0	4	0	0	Yes	No	No	No	Not applicable	No	Not applicable	4 to 6 	Warm / Cold	At various times	Yes	6 to 10	Yes	No	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Basement				1			2		$40,000 to $59,999	Male	55 to 65	Trade or technical school	Very comfortable	
532	P	Electric, central forced air	Woodstove or fireplace		67	60	just right	No	October	May	1	Hallway	None	Never	off	off	Too warm	1,500 – 1,999 sq. ft.	1978-1989	x	x	x	x	x	x	x	x		x			Yes	Not sure	Not sure	Yes	Blank	Not sure	Blank	7 to 9	Warm / Cold	At various times	Yes	0 to 5	Not sure	Not sure	Electric	No	Sometimes sufficient	To prevent scalding (about 120 F)	1	Laundry Room		1	2		1	1			$60,000 to $79,999	Female	46 to 55	Graduate college/professional school	Not comfortable	
546	C	Electric heat pump, central forced air	Woodstove or fireplace		70	60	just right	Yes	October	May	1	Main floor halway	Heat pump	Occasionally	75	60	Just right	1,000 – 1,499 sq. ft.	1960s	x	x	x	x	x	x	x	x		x			Yes	No	Yes	Yes	Blank	Yes	Blank	4 to 6 	Warm / Hot	At various times	Yes	6 to 10	Not sure	Yes	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Laundry Room								x	$20,000 to $39,999	Female	66 or older	Graduate college/professional school	Very comfortable	
547	C	Electric heat pump, central forced air			72	60	just right	No	October	May	1	Main floor hallway	Heat pump	Occasionally	60	60	Just right	1,000 – 1,499 sq. ft.	1970-1978	x	x	x	x	x	x	x	x	x				Yes	Yes	Yes	No	No	Blank	Not applicable	1 to 3	Warm / Hot	At various times	Yes	6 to 10	Yes	Yes	Electric	No	Sometimes sufficient	To prevent scalding (about 120 F)	1	Home								2	$20,000 to $39,999	Male	66 or older	Some college	Very comfortable	
551	C	Electric heat pump, central forced air	Electric, central forced air		65	56	just right	Yes	November	April	1	Hallway	Heat pump	Occasionally	78	80	Just right	2,000 – 2,499 sq. ft.	1990s	1	0	1	1	1	1	1	1	1	1	1	0	Yes	Not sure	Not sure	Yes	No	Yes	Yes	4 to 6 	Warm / Cold	At various times	Yes	11 to 15	No	Yes	Blank	No	Blank	To prevent scalding (about 120 F)	Blank	Basement						2			$80,000 to $99,999	Male	46 to 55	Graduated college	Very comfortable	
554	C	Electric heat pump, central forced air	Woodstove or fireplace		66	58	too cool	Yes	October	April	1	Main floor hallway	Heat pump	Occasionally	78	76	Just right	2,000 – 2,499 sq. ft.	2000s	1	2	1	1	1	1	1	4	1	2	1	0	Yes	Yes	Not sure	No	Not sure	Yes	Yes	4 to 6 	Warm / Cold	At various times	Yes	11 to 15	Yes	No	Electric	Yes	Usually sufficient	To prevent scalding (about 120 F)	1	1st Floor Closet						2			$60,000 to $79,999	Male	46 to 55	Trade or technical school	Very comfortable	
556	P	Electric heat pump, central forced air	Other		73	62	just right	Yes	October	July	1	Main floor hallway	Heat pump	Occasionally	73	62	Just right	2,500 – 2,999 sq. ft.	1990s	x		x	x	x	x	x	x		x			Yes	No	No	No		No		1 to 3	Warm / Cold	At various times	Yes	0 to 5	No	Yes	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Lower Floor								2	$40,000 to $59,999	Female	66 or older	Graduate college/professional school	Very comfortable	
559	P	Electric, central forced air	None		68	off	just right	Yes	October	May	1	Main floor hallway	None	Never	off	off	Just right	1,500 – 1,999 sq. ft.	1950s	1	1	1	1	1	1	1	1		2			Yes	No	No	No		No		7 to 9	Cold / Cold	At various times	Yes	11 to 15	No	Yes	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Basement							1	1	$60,000 to $79,999	Male	66 or older	Some college	Very comfortable	
562	P	Electric, central forced air	Woodstove or fireplace		67	62	just right	Yes	October	May	1	Main floor dining	None	Don't have one	60	60	Too warm	2,000 – 2,499 sq. ft.	1950s	1		1	1	1	1	1	1	1				Yes	Yes	Yes	Yes	Yes			4 to 6 	Warm / Cold	At various times	Yes	6 to 10	Not sure	Yes	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Basement								2	$20,000 to $39,999	Male	66 or older	Some college	Very comfortable	
566	P	Electric, central forced air	None		60-62	60-62	just right	No	September	July	1	Main floor hallway	None	Never	off	off	Too cool	Less than 1000 sq. ft.	1978-1989	1		1	1	1	1	1	1		1			Yes	Not sure	Yes	Yes		Not sure		1 to 3	Warm / Cold	At the same time of day	Yes	6 to 10	Not sure	Yes	Electric	No	Usually sufficient	To wash hands comfortably (less than 120 F)	1	Bedroom Closet						1			$20,000 to $39,999	Female	46 to 55	Some college	Very comfortable	
575	P	Electric, central forced air	None		62	67	just right	Yes	October	April	1	Main floor hallway	None	Don't have one	blank	blank	Blank	blank	Blank													Blank	Blank	Blank	Blank	Blank	Blank	Blank	Blank	Blank	Blank	Blank	Blank	Blank	Blank	Blank	Blank	Blank	Blank	Blank	Blank									Refused	Blank	Blank	Blank	Blank	
576	P	Electric heat pump, central forced air	Electric baseboard	Woodstove or fireplace	70	67	just right	Yes	October	May	1	Main floor living room	Heat pump	Occasionally	65	65	Just right	1,500 – 1,999 sq. ft.	Before 1950	x	x	x	x	x	x	x	x		x			Yes	Not sure	Not sure	Yes		Yes		4 to 6 	Warm / Cold	At various times	Yes	16 to 20	Yes	Not sure	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Basement								2	$40,000 to $59,999	Male	66 or older	Graduate college/professional school	Very comfortable	
577	P	Electric heat pump, central forced air	None		68	65	too cool	No	September	Blank	1	Front Room Living Room	None	Don't have one	off	off	Too warm	1,000 – 1,499 sq. ft.	Before 1950	1	1	1	1	0	1	1	1	0	3	0	0	Not applicable	Yes	Yes	Not sure	Not applicable	Yes	Not applicable	4 to 6 	Cold / Cold	At various times	Yes	6 to 10	No	Yes	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	basement				2					$40,000 to $59,999	Female	26 to 35	Some college	Very comfortable	
578	P	Electric heat pump, central forced air	Electric radiant heating		65	68	too cool	Yes	October	June	1	Main floor dining	Heat pump	Never	85	85	Too warm	2,000 – 2,499 sq. ft.	1950s	2	0	1	1	0	1	1	2	0	2	0	0	Blank	Yes	Yes	Yes	Blank	Blank	Blank	4 to 6 	Warm / Cold	At various times	Yes	20 or more	No	No	Electric	No	Usually sufficient	As hot as possible (160 F or more)	1	Basement			1		2				$100,000 or more	Male	36 to 45	Graduated college	Very comfortable	
580	P	Electric, central forced air	Electric baseboard		64	63	just right	Yes	October	May	1	Kitchen and Living Room	None	Don't have one	off	off	Just right	2,000 – 2,499 sq. ft.	1990s	1	0	1	1	1	1	1	2	0	1	0	0	Yes	Yes	No	No	Not applicable	No	Yes	1 to 3	Cold / Cold	At various times	Yes	0 to 5	Not sure	Yes	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Utility room								1	Up to $19,999	Male	55 to 65	Graduate college/professional school	Very comfortable	
584	P	Electric heat pump, central forced air	Electric, central forced air	Portable electric heater(s)	69	69	just right	Yes	October	May	1	2nd floor hallway	Heat pump	Occasionally	62	62	Just right	1,500 – 1,999 sq. ft.	1970-1978	2	0	1	1	1	1	1	2	0	1	0	0	Yes	Yes	No	No	Not applicable	No	Not applicable	4 to 6 	Cold / Cold	At various times	Yes	11 to 15	Not sure	Yes	Electric	Yes	Usually sufficient	To prevent scalding (about 120 F)	1	Garage			2			1			$60,000 to $79,999	Female	46 to 55	Some college	Very comfortable	
