ID #	Area	Main Heating System	Second Heating System - 1	Second Heating System - 2	Winter Tstat Setting - Daytime	Winter Tstat Setting - Nighttime	Home's Winter Temp	Programmable Tstat	Month Start Heating	Month Stop Heating	# of Tstats	Tstat Location	AC System	Summer AC Use	Summer Tstat Setting - Daytime	Summer Tstat Setting - Nighttime	Home's summer temp	Sq footage	Yr built	Refrigerator	Freezer	Clothes washer	Clothes dryer	Dishwasher	Stove/range	Microwave	PC	Large screen TV	Reg TV	Hot tub/spa	Swimming pool	Change Time Use of Diswasher	Change Time Use of Stove/range	Change Time Use of Microwave	Change Time Use of PC	Change Time Use of Lg screen TV	Change Time Use of Reg TV	Change Time Use of Hot tub/spa	Loads laundry per week	Temp setting for closther washer	Time laundry is done	Change laundry schedule	Showers/baths per week	Low-flow shower head	Change shower time	Water heater	Water heater timer	Amt of hot water	Water heater set	# of water heaters	Location of water heater	# of People Age 0 - 11	# of People Age 12 - 18	# of People Age 18 - 25	# of People Age 26 - 35	# of People Age 36 - 45	# of People Age 46 - 55	# of People Age 55 - 65	# of People Age 66 or Older	Income	Responsible Occupant - Gender	Responsible Occupant - Age	Responsible Occupant - Education	Responsible Occupant - Internet comfort level
240	G	Gas, oil, or propane central forced air	Woodstove or fireplace		72	68	just right	Not sure	November	March	1	Main floor hallway	wall or window unit(s)	Occasionally	Off	Off	Just right	2,000 – 2,499 sq. ft.	1978-1989	x		x	x	x	x	x	x	x	x			Yes	No	No	No	No	No	Blank	10 or more	Cold / Cold	At various times	Yes	16 to 20	Not sure	No	Gas	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage	2				2				$40,000 to $59,999	Female	36 to 45	Some college	Very comfortable
241	G	Gas, oil, or propane central forced air	None		68	65	just right	Yes	October	June	1	Main floor	wall or window unit(s)	Routinely	Off	Off	Just right	2,000 – 2,499 sq. ft.	Before 1950	1	1	1	1	1	1	1	1	1	2	0	0	Yes	No	No	No	No	No	Not applicable	7 to 9	Warm / Cold	At various times	Yes	11 to 15	No	Not sure	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Basement			1			1	1		$40,000 to $59,999	Female	55 to 65	Graduate college/professional school	A little comfortable
243	G	Electric radiant heating	Woodstove or fireplace		60	62	too cool	No	November	March	More than 2	Each room has one	None	Don't have one			Just right	1,500 – 1,999 sq. ft.	1970-1978	x	x	x	x	x	x	x	x		x			Yes	Yes	Yes	Not sure	Not applicable	Not sure	Not applicable	7 to 9	Cold / Cold	At various times	Yes	20 or more	Yes	Not sure	Electric	No	Sometimes sufficient	For the dishwasher/clothes washer (about 140 F)	1	Pantry		1			2			1	$100,000 or more	Female	36 to 45	Graduated college	Very comfortable
244	G	Gas, oil, or propane central forced air	None		69	60	just right	Yes	October	May	1	Main floor hallway	Central forced air	Occasionally	72	72	Just right	3,000 – 3,499 sq. ft.	1990s	2	1	1	1	1	1	1	1	1	3	0	0	Yes	No	No	No	No	No	Not applicable	4 to 6 	Warm / Cold	At various times	Yes	20 or more	Yes	No	Gas	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage	1				1	1			$100,000 or more	Female	36 to 45	Some college	Very comfortable
245	G	Gas, oil, or propane central forced air	Other		67	60	just right	Yes	November	May	1	Main Entry	Central forced air	Occasionally	74	Off	Too warm	2,000 – 2,499 sq. ft.	1978-1989	1	1	1	1	1	1	1	4	1	4	0	0	Yes	No	No	No	No	No	Blank	7 to 9	Cold / Cold	At various times	Yes	20 or more	Yes	Not sure	Gas	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage		2					2		$100,000 or more	Male	55 to 65	Graduated college	Very comfortable
247	G	Gas, oil, or propane central forced air	None		68	64	just right	Yes	October	April	1	1st floor kitchen eating area	Central forced air	Occasionally	74	70	Just right	2,000 – 2,499 sq. ft.	2000s	1	1	1	1	1	1	1	1					Yes	Not sure	No	No	Blank	No	Blank	1 to 3	Warm / Cold	At the same time of day	Yes	16 to 20	Yes	No	Gas	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage	2			1	1				$80,000 to $99,999	Female	26 to 35	Graduate college/professional school	Very comfortable
249	G	Gas, oil, or propane central forced air	Woodstove or fireplace		68	64	just right	No	September	May	2	Main entrance hallway	Heat pump	Occasionally	78	78	Just right	2,500 – 2,999 sq. ft.	1990s	2	1	1	1	1	1	1	2	1	2	0	0	Yes	No	Yes	Yes	Yes	Yes	No	10 or more	Warm / Cold	At various times	Yes	20 or more	Yes	Yes	Gas	No	Usually sufficient	To prevent scalding (about 120 F)	1	Basement		3	1		1	1			$100,000 or more	Male	36 to 45	Graduate college/professional school	Very comfortable
251	C	Electric heat pump, central forced air	Electric heat pump, forced air		72	65	just right	Yes	October	April	1	Main hallway	Heat pump	Occasionally	68	65	Just right	1,000 – 1,499 sq. ft.	1990s	x	x	x	x	x	x	x	x		x										1 to 3	Cold / Cold		No	0 to 5	Yes	Not sure	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Master bedroon closet								x	Refused	Female	66 or older	High school	-
253	G	Gas, oil, or propane central forced air	Woodstove or fireplace		68	65	too cool	Yes	October	April	1	2nd floor hallway	Central forced air	Routinely	74	72	Too warm	2,000 – 2,499 sq. ft.	1978-1989	x	x	x	x	x	x	x	x	x	x			Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Blank	7 to 9	Warm / Cold	At various times	Yes	11 to 15	Yes	Not sure	Gas	Not sure	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Basement	3			1	1				Refused	Female	26 to 35	Some college	Very comfortable
256	G	Gas, oil, or propane central forced air	Woodstove or fireplace		69	65	too cool	Yes	October	May	1	Main floor living room	Central forced air	Routinely	74	74	Just right	2,500 – 2,999 sq. ft.	1990s	3	1	1	1	1	2	1	2	1	2	0	0	Yes	No	No	No	No	Yes	Not applicable	7 to 9	Warm / Cold	At various times	Yes	16 to 20	Yes	Not sure	Gas	Not sure	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	2	Basement storage	1	2			2				$60,000 to $79,999	Female	36 to 45	Some college	Very comfortable
257	G	Gas, oil, or propane central forced air	None		69	66	just right	Yes	November	May	1	Main floor hallway	Central forced air	Occasionally	78	81	Just right	2,500 – 2,999 sq. ft.	1978-1989	1	0	1	1	1	1	1	1	0	2	1	0	Yes	No	No	No	No	No	Yes	4 to 6 	Cold / Cold	At various times	Yes	11 to 15	No	No	Electric	No	Usually sufficient	To wash hands comfortably (less than 120 F)	1	Basement	0	1	0	0	0	1	0	0	$100,000 or more	Male	46 to 55	Graduated college	Very comfortable
258	G	Gas, oil, or propane central forced air	Woodstove or fireplace		65	65	just right	No	November	April	1	Main floor family room	None	Don't have one	off	off	Too warm	2,000 – 2,499 sq. ft.	1990s	x	x	x	x	x	x	x	x	x	x	x	x	Yes	Yes	Yes	Yes	Yes	Yes	Yes	7 to 9	Warm / Cold	At the same time of day	Yes	20 or more	Yes	No	Gas	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage		2			1	1			$40,000 to $59,999	Female	36 to 45	High school	A little comfortable
260	G	Electric radiant heating	None		68	low	too cool	Yes			More than 2	Main floor hallway	None	Don't have one	Low	Low	Too warm	1,500 – 1,999 sq. ft.	1960s	2	1	1	1	1	1	1	1	1	2	0	0	Yes	no	no	no	no	no	Blank	4 to 6 	Warm / Cold	At various times	Yes	0 to 5	Yes	No	Electric	No	Usually sufficient	As hot as possible (160 F or more)	1	Basement								2	Refused	Male	66 or older	Some college	Not comfortable
262	G	Gas, oil, or propane central forced air			70	60	just right	Yes	October	April	1	Hallway main floor	wall or window unit(s)	Routinely	70	70	Just right	1,500 – 1,999 sq. ft.	Before 1950	2	1	1	1	1	1	1	3		3			yes	no	no	no	no	no	no	7 to 9	Warm / Hot	At various times	No	20 or more	No	No	Gas	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Laundry room	1		2			2			$80,000 to $99,999	Male	46 to 55	Some college	Very comfortable
263	G	Gas, oil, or propane central forced air	Woodstove or fireplace		70	68	just right	No	September	April	1	Main floor hallway	Central forced air	Routinely	72	78	Just right	1,500 – 1,999 sq. ft.	1970-1978	x	x	x	x	x	x	x	x		x			Yes	Yes	Yes	Yes	Blank	Yes	Yes	4 to 6 	Cold / Cold	At various times	Not sure	20 or more	Not sure	No	Gas	No	Usually sufficient	To prevent scalding (about 120 F)	1	Downstairs	2			2		2			$80,000 to $99,999	Female	46 to 55	Some college	A little comfortable
269	G	Gas, oil, or propane central forced air	Portable electric heater(s)	Woodstove or fireplace	68	65	too cool	Yes	October	May	1	living room	Other	Don't have one	n/a	n/a	Just right	2,000 – 2,499 sq. ft.	1970-1978	x	x	x	x	x	x	x	x		x			No	no	no	no	no	No		4 to 6 	Cold / Cold	At various times	Yes	20 or more	Yes	No	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Garage			2			2			$60,000 to $79,999	Male	46 to 55	Trade or technical school	Very comfortable
270	C	Electric heat pump, central forced air	None		68	72	just right	Yes	September	April	1	Great room	Heat pump	Occasionally	78	80	Just right	1,500 – 1,999 sq. ft.	2000s	1	1	1	1	1	1	1	2	0	2	1	0	Yes	Yes	Yes	No	Blank	No	Yes	1 to 3	Cold / Cold	At various times	Yes	0 to 5	Yes	Yes	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Laundry room	2								$40,000 to $59,999	Male	66 or older	Graduate college/professional school	Very comfortable
273	Y	Gas, oil, or propane central forced air	None		70	67	too warm	Yes	September	May	2	Dining Room & Upstairs	Central forced air	Routinely	75	75	Just right	1,500 – 1,999 sq. ft.	Before 1950	1	1	1	1	1	1	1	5	1	2	0	0	Yes	Yes	Yes	No	No	No	Not applicable	10 or more	Cold / Cold	At various times	Yes	20 or more	Yes	No	Gas	No	Usually sufficient	To prevent scalding (about 120 F)	1	Basement			1	1		2			$80,000 to $99,999	Male	46 to 55	Graduated college	Very comfortable
274	Y	Gas, oil, or propane central forced air	None		70	70	just right	No	October	April	1	Main floor	wall or window unit(s)	Routinely	68	off	Just right	1,500 – 1,999 sq. ft.	1950s	1	1	1	1		1	1	1		1			Not applicable	Yes	No	No	Not applicable	No	Not applicable	4 to 6 	Warm / Cold	At various times	Yes	0 to 5	No	Not sure	Electric	Not sure	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Basement	1								$20,000 to $39,999	Female	36 to 45	Some college	A little comfortable
275	Y	Other	None		70	70	just right	No	October	April	1	Living Room	wall or window unit(s)	Routinely	60	60	Too warm	1,000 – 1,499 sq. ft.	Before 1950	x		x	x	x	x	x	x		x	x		Yes	No	No	Not sure	Not applicable	Yes	Yes	10 or more	Warm / Cold	At various times	Yes	20 or more	Yes	Not sure	Blank	No	Blank	To prevent scalding (about 120 F)	Blank	Basement	1	1	1			2			$40,000 to $59,999	Female	46 to 55	High school	Very comfortable
277	Y	Electric baseboard	None		68	72	just right	No	November	March	More than 2	Main floor Front room	wall or window unit(s)	Occasionally	off	off	Just right	1,000 – 1,499 sq. ft.	1950s	x	x	x	x		x	x	x		x			Not applicable	No	No	No	Not applicable	No	Not applicable	4 to 6 	Cold / Cold	At various times	Yes	6 to 10	Yes	Yes	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Laundry Room						2			$40,000 to $59,999	Male	46 to 55	Some college	Very comfortable
278	C	Electric, central forced air	Other		64	50	just right	Yes	October	April	2	Living Room	None	Don't have one	off	off	Just right	1,500 – 1,999 sq. ft.	1990s	2	0	1	1	1	1	1	2	0	1	0	0	Not sure	Yes	Yes	Yes	Blank	Yes	Blank	1 to 3	Warm / Cold	At various times	Yes	11 to 15	Not sure	No	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Office Closet							1		$20,000 to $39,999	Male	55 to 65	Graduate college/professional school	Very comfortable
280	Y	Other	None		72	68	just right	No	October	April	1	Living Room	wall or window unit(s)	Routinely	68	68	Just right	Less than 1000 sq. ft.	Before 1950	x		x	x		x	x	x		x			Not applicable	Yes	No	No	Not applicable	No	Not applicable	4 to 6 	Warm / Cold	At various times	Yes	11 to 15	No	Not sure	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Laundry Room						2			$40,000 to $59,999	Female	46 to 55	Some college	Very comfortable
281	Y	Woodstove or fireplace	Gas, oil, or propane central forced air		60	60	too warm	No	October	Blank	1	Main floor	wall or window unit(s)	Routinely	68	68	Just right	1,000 – 1,499 sq. ft.	Before 1950	1	1	1	1		1	1	2		2		1	Not applicable	No	No	No	Not applicable	No	Not applicable	4 to 6 	Warm / Cold	At various times	Yes	11 to 15	Yes	Yes	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Basement				1		1			Refused	Male	46 to 55	Junior high school	Very comfortable
282	C	Electric, central forced air	Electric baseboard	Portable electric heater(s)	66	60	too cool	Yes	October	?	1	Main floor hallway	None	Don't have one	66	60	Too cool	1,000 – 1,499 sq. ft.	1970-1978	1	1	1	1	1	1	1	1		2			Yes	Yes	Yes	Yes	Blank	Not sure		1 to 3	Warm / Cold	At various times	Yes	0 to 5	Yes	Yes	Electric	No	Usually sufficient	don't know setting	1	Mud room								1	$40,000 to $59,999	Female	66 or older	Some college	Very comfortable
284	G	Electric heat pump, central forced air	Gas, oil, or propane central forced air		70	68	just right	Yes	November	April	1	Main floor hallway	Heat pump	Routinely	70	70	Just right	2,000 – 2,499 sq. ft.	1990s	2	1	1	1	1	1	1	2	0	3	1	0	Yes	Yes	Yes	Yes	Blank	Yes	Yes	10 or more	Warm / Cold	At various times	Yes	6 to 10	No	Yes	Gas	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Garage								2	$40,000 to $59,999	Male	66 or older	Graduated college	Very comfortable
289	G	Gas, oil, or propane central forced air	None		68	55	just right	No	October	May	1	2nd floor hallway	Central forced air	Occasionally	77	off	Too warm	2,000 – 2,499 sq. ft.	1970-1978	1	1	1	1	1	1	1	1	0	1	0	0	Yes	Yes	Yes	Yes	Blank	Yes	Blank	4 to 6 	Warm / Cold	At various times	Yes	20 or more	Yes	Not sure	Gas	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	laundry room		1	1			2			$60,000 to $79,999	Female	46 to 55	Graduated college	A little comfortable
290	G	Electric heat pump, central forced air	Woodstove or fireplace		68	65	too cool	Yes	October	March	1	2nd floor hallway	Heat pump	Routinely	78		Just right	2,000 – 2,499 sq. ft.	1978-1989	x	x	x	x	x	x	x	x		x	x	x	Yes	No	No	No	Not applicable	Not sure	Yes	10 or more	Cold / Cold	At various times	Not sure	16 to 20	Yes	No	Electric	No	Usually sufficient	Blank	2	Garage		3		1					$40,000 to $59,999	Female	26 to 35	High school	A little comfortable
292	C	Electric heat pump, central forced air	None		68	58	just right	Yes	October	May	1	Mail floor hallway	Heat pump	Occasionally	85	70	Just right	1,500 – 1,999 sq. ft.	1990s	2	1	1	1	1	1	1	2	0	3	0	0	Yes	Yes	Yes	Yes	Not applicable	Yes	Not applicable	4 to 6 	Warm / Cold	At various times	Yes	11 to 15	Yes	Yes	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Garage	x								$40,000 to $59,999	Male	55 to 65	Graduated college	Very comfortable
293	C	Electric heat pump, central forced air	None		64	60	just right	Yes	November	March	1	Mail floor hallway	Heat pump	Never	60	60	Just right	2,000 – 2,499 sq. ft.	1990s	x	x	x	x	x	x	x	x		x			Yes	Yes	Not sure	No		No	Blank	1 to 3	Warm / Cold	At various times	Yes	11 to 15	No	Yes	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Utility room							2		$40,000 to $59,999	Male	55 to 65	Graduated college	Very comfortable
294	C	Electric heat pump, central forced air	None		68	67	too cool	Yes	October	April	1	Mail floor hallway	Heat pump	Occasionally	71	66	Too warm	1,500 – 1,999 sq. ft.	1990s	2		1	1	2	1	1	2	1	2	0	0	Yes	No	Yes	Not sure	Not sure	Yes	Blank	1 to 3	Warm / Cold	At various times	Yes	11 to 15	Yes	Not sure	Electric	No	Usually sufficient	As hot as possible (160 F or more)	1	Garage							2		Refused	Male	55 to 65	Some college	Very comfortable
302	Y	Gas, oil, or propane central forced air	Blank		66	63	too cool	Yes	November	March	1	Living Room	Central forced air	Occasionally	76	76	Too warm	Less than 1000 sq. ft.	Before 1950	x		x	x	x	x	x	x		x			Yes	Yes	Yes	No	Not applicable	No	Not applicable	1 to 3	Cold / Cold	At various times	Yes	0 to 5	No	Yes	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Basement						x			$20,000 to $39,999	Female	46 to 55	Graduated college	Very comfortable
306	G	Gas, oil, or propane central forced air	Woodstove or fireplace		63	60	too cool	Yes	October	March	1	Main floor living room	Central forced air	Occasionally	Off	Off	Just right	2,500 – 2,999 sq. ft.	1970-1978	2	1	1	1	1	2	1	2		4			Yes	Blank	Blank	Not sure	Not applicable	Not sure	Not applicable	4 to 6 	Cold / Cold	At various times	Yes	16 to 20	Not sure	Yes	Gas	No	Not usually sufficient	To prevent scalding (about 120 F)	1	Basement storage	2				2				$60,000 to $79,999	Female	36 to 45	Graduate college/professional school	Very comfortable
307	G	Electric, central forced air	None		70	70	just right	Yes	November	February	1	2nd floor hallway	Central forced air	Occasionally	77	80	Just right	1,500 – 1,999 sq. ft.	1970-1978	x	x	x	x	x	x	x	x		x			Yes	No	No	No	Blank	No	Blank	7 to 9	Cold / Cold	At various times	Yes	16 to 20	Not sure	Not sure	Gas	Not sure	Usually sufficient	To prevent scalding (about 120 F)	1	Basement	3				2				Refused	Male	36 to 45	Graduate college/professional school	Very comfortable
308	Y	Gas, oil, or propane central forced air	Portable electric heater(s)		68	68	too cool	No	November	April	1	Main floor hallway	None	Don't have one	off 	off	Too warm	1,500 – 1,999 sq. ft.	Before 1950	x		x	x	x	x	x	x		5		x	Yes	Not sure	Not sure	No	Yes	Yes	Not applicable	10 or more	Cold / Cold	At various times	Not sure	20 or more	Yes	No	Electric	No	Sometimes sufficient	To prevent scalding (about 120 F)	1	Basement		1			2				$40,000 to $59,999	Female	36 to 45	Some high school	A little comfortable
310	Y	Gas, oil, or propane central forced air	Portable electric heater(s)		65	65	just right	No	November	March	1	Main floor	wall or window unit(s)	Occasionally	85		Just right	1,000 – 1,499 sq. ft.	1950s	x		x	x		x	x	x		x			Not applicable	No	No	No	Not applicable	No	Not applicable	4 to 6 	Warm / Cold	At various times	Not sure	11 to 15	No	No	Electric	No	Usually sufficient	To prevent scalding (about 120 F)	1	Basement		2				1			Up to $19,999	Male	46 to 55	Some college	Very comfortable
313	Y	Gas, oil, or propane central forced air	Portable electric heater(s)	Woodstove or fireplace	74	74	just right	Yes	October	Blank	1	Living Room	wall or window unit(s)	Routinely	60	60	Too cool	1,500 – 1,999 sq. ft.	Before 1950	x	x	x	x	x	x	x	x	x	x			Yes	Not sure	Not sure	Not sure	No	Not sure	Not applicable	4 to 6 	Warm / Hot	At various times	Yes	6 to 10	Yes	Yes	Electric	Not sure	Usually sufficient	To prevent scalding (about 120 F)	1	Utility room			2						$20,000 to $39,999	Female	18 to 25	Some college	Very comfortable
316	C	Electric heat pump, central forced air	Woodstove or fireplace		70	68	just right	Yes	September	May	1	Great room	Heat pump	Occasionally	68	68	Just right	2,000 – 2,499 sq. ft.	1990s	1	1	1	1	1	1	1	2	1	1			Yes	No	No	No	No	Yes		4 to 6 	Cold / Cold	At various times	Yes	16 to 20	Yes	No	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Linen Closet		1				2			$60,000 to $79,999	Female	46 to 55	Some college	Very comfortable
323	G	Gas, oil, or propane central forced air	None		68	64	just right	Yes	October		2	Living room & 1st floor hallway	Central forced air	Routinely	72	off	Just right	More than 3,500 sq. ft.	1960s	4	1	1	1	1	2	1	1	1	3	0	0	Yes	No	No	No	No	No	Not sure	7 to 9	Warm / Hot	At various times	Yes	11 to 15	No	No	Gas	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Basement						2			Refused	Male	46 to 55	Trade or technical school	Very comfortable
325	C	Electric, central forced air			62	65	too cool	No	October	April	1	Main floor hallway	None	Never	off	off	Too warm	1,500 – 1,999 sq. ft.	1978-1989	x		x	x	x	x	x	x		x			Yes	Yes	Yes	Not sure	Blank	Yes	Blank	1 to 3	Warm / Cold	At various times	Yes	0 to 5	Not sure	Not sure	Electric	No	Usually sufficient	As hot as possible (160 F or more)	1	Laundry Room						1			Up to $19,999	Female	46 to 55	Some college	Very comfortable
327	Y	Gas, oil, or propane central forced air	Portable electric heater(s)		66	66	just right	Yes	September	April	1	Dining Room	Central forced air	Routinely	72	72	Just right	1,500 – 1,999 sq. ft.	1960s	1	1	1	1	1	1	1	1		2			Yes	No	No	No	No	No		4 to 6 	Cold / Cold	At various times	Yes	6 to 10	Not sure	Not sure	Gas	Not sure	Sometimes sufficient	For the dishwasher/clothes washer (about 140 F)	1	Basement					1				$20,000 to $39,999	Female	36 to 45	Graduated college	Very comfortable
331	Y	Electric heat pump, central forced air	Woodstove or fireplace		69	65	too cool	Yes	October	May	1	Dining Room	Heat pump	Occasionally	78	78	Too warm	2,500 – 2,999 sq. ft.	Before 1950	2		1	1	1	1	1	1	1	1			Yes	No	No	No	No	No		7 to 9	Warm / Cold	At various times	Yes	11 to 15	Yes	No	Electric	No	Usually sufficient	For the dishwasher/clothes washer (about 140 F)	1	Basement							2		$100,000 or more	Male	55 to 65	Some college	A little comfortable
