# Center-tapped Distribution transformer definitions
Name, NumPhases, Wdg1Bus, phase, Wdg1kV, Wdg1kVA, Wdg2Bus, phase, Wdg2kV, Wdg2kVA, Wdg3Bus, phase, Wdg3kV, Wdg3kVA, %imag, %R1, %R2, %R3, %NoLoadLoss, %X12, %X13, %X23
T5323250B, 1, L2748131, B, 7.2, 15, X2748131B, a, 0.12, 15, X2748131B, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5337659C, 1, L3066810, C, 7.2, 25, X3066810C, a, 0.12, 25, X3066810C, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T28118903B, 1, L2973146, B, 7.2, 25, X2973146B, a, 0.12, 25, X2973146B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21398646B, 1, L2973180, B, 7.2, 25, X2973180B, a, 0.12, 25, X2973180B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5293656B, 1, L2973167, B, 7.2, 15, X2973167B, a, 0.12, 15, X2973167B, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5338910C, 1, L2841621, C, 7.2, 25, X2841621C, a, 0.12, 25, X2841621C, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T28129923C, 1, L3123509, C, 7.2, 15, X3123509C, a, 0.12, 15, X3123509C, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5337716A, 1, L2841627, A, 7.2, 15, X2841627A, a, 0.12, 15, X2841627A, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5337698B, 1, L3235250, B, 7.2, 10, X3235250B, a, 0.12, 10, X3235250B, b, 0.12, 10, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T2224386946A, 1, L3728037, A, 7.2, 25, X3728037A, a, 0.12, 25, X3728037A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5330121B, 1, L3142078, B, 7.2, 10, X3142078B, a, 0.12, 10, X3142078B, b, 0.12, 10, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5323252B, 1, L2879066, B, 7.2, 15, X2879066B, a, 0.12, 15, X2879066B, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5441331C, 1, L3235254, C, 7.2, 25, X3235254C, a, 0.12, 25, X3235254C, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5260474A, 1, L2917330, A, 7.2, 25, X2917330A, a, 0.12, 25, X2917330A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5355376B, 1, L2914323, B, 7.2, 10, X2914323B, a, 0.12, 10, X2914323B, b, 0.12, 10, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5338944C, 1, L3197640, C, 7.2, 10, X3197640C, a, 0.12, 10, X3197640C, b, 0.12, 10, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5260640C, 1, L3179673, C, 7.2, 15, X3179673C, a, 0.12, 15, X3179673C, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5274997C, 1, L3048228, C, 7.2, 25, X3048228C, a, 0.12, 25, X3048228C, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5138372C, 1, L3104126, C, 7.2, 10, X3104126C, a, 0.12, 10, X3104126C, b, 0.12, 10, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T226308721A, 1, L2990098, A, 7.2, 50, X2990098A, a, 0.12, 50, X2990098A, b, 0.12, 50, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21380616A, 1, L2879067, A, 7.2, 25, X2879067A, a, 0.12, 25, X2879067A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T226193170A, 1, L3176656, A, 7.2, 25, X3176656A, a, 0.12, 25, X3176656A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5293666C, 1, L2710532, C, 7.2, 10, X2710532C, a, 0.12, 10, X2710532C, b, 0.12, 10, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5338994B, 1, L3160115, B, 7.2, 50, X3160115B, a, 0.12, 50, X3160115B, b, 0.12, 50, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T228665517C, 1, L3103822, C, 7.2, 37.5, X3103822C, a, 0.12, 37.5, X3103822C, b, 0.12, 37.5, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5260647A, 1, L2805034, A, 7.2, 10, X2805034A, a, 0.12, 10, X2805034A, b, 0.12, 10, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T226115278A, 1, L3157167, A, 7.2, 15, X3157167A, a, 0.12, 15, X3157167A, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5338977A, 1, L2916620, A, 7.2, 10, X2916620A, a, 0.12, 10, X2916620A, b, 0.12, 10, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5338977B, 1, L2916620, B, 7.2, 10, X2916620B, a, 0.12, 10, X2916620B, b, 0.12, 10, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5338977C, 1, L2916620, C, 7.2, 10, X2916620C, a, 0.12, 10, X2916620C, b, 0.12, 10, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5321876A, 1, L3027132, A, 7.2, 15, X3027132A, a, 0.12, 15, X3027132A, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5275001C, 1, L2822862, C, 7.2, 15, X2822862C, a, 0.12, 15, X2822862C, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T227411650C, 1, L2937757, C, 7.2, 25, X2937757C, a, 0.12, 25, X2937757C, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21396699B, 1, L2860483, B, 7.2, 25, X2860483B, a, 0.12, 25, X2860483B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5302412A, 1, L3048210, A, 7.2, 37.5, X3048210A, a, 0.12, 37.5, X3048210A, b, 0.12, 37.5, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T2223661373A, 1, L3312692, A, 7.2, 25, X3312692A, a, 0.12, 25, X3312692A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T226881700A, 1, L3251854, A, 7.2, 25, X3251854A, a, 0.12, 25, X3251854A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5355777B, 1, L3085398, B, 7.2, 25, X3085398B, a, 0.12, 25, X3085398B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5337671A, 1, L3254207, A, 7.2, 15, X3254207A, a, 0.12, 15, X3254207A, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5339018A, 1, L2729424, A, 7.2, 15, X2729424A, a, 0.12, 15, X2729424A, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21398676A, 1, L3066816, A, 7.2, 15, X3066816A, a, 0.12, 15, X3066816A, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5138469C, 1, L2785518, C, 7.2, 15, X2785518C, a, 0.12, 15, X2785518C, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5138373C, 1, L3029503, C, 7.2, 15, X3029503C, a, 0.12, 15, X3029503C, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5391995A, 1, L2748140, A, 7.2, 25, X2748140A, a, 0.12, 25, X2748140A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T225533423C, 1, L2891575, C, 7.2, 15, X2891575C, a, 0.12, 15, X2891575C, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5260568C, 1, L2842329, C, 7.2, 15, X2842329C, a, 0.12, 15, X2842329C, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5138754B, 1, L3254212, B, 7.2, 37.5, X3254212B, a, 0.12, 37.5, X3254212B, b, 0.12, 37.5, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5260552A, 1, L3198348, A, 7.2, 50, X3198348A, a, 0.12, 50, X3198348A, b, 0.12, 50, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5338968C, 1, L3178979, C, 7.2, 37.5, X3178979C, a, 0.12, 37.5, X3178979C, b, 0.12, 37.5, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5247061A, 1, L2879054, A, 7.2, 25, X2879054A, a, 0.12, 25, X2879054A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5391746B, 1, L3085388, B, 7.2, 10, X3085388B, a, 0.12, 10, X3085388B, b, 0.12, 10, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5338941C, 1, L2991914, C, 7.2, 15, X2991914C, a, 0.12, 15, X2991914C, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5338982B, 1, L2785534, B, 7.2, 25, X2785534B, a, 0.12, 25, X2785534B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5339008B, 1, L3122835, B, 7.2, 15, X3122835B, a, 0.12, 15, X3122835B, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21391094A, 1, L3085395, A, 7.2, 15, X3085395A, a, 0.12, 15, X3085395A, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5138581A, 1, L2879064, A, 7.2, 25, X2879064A, a, 0.12, 25, X2879064A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5338979B, 1, L3066814, B, 7.2, 10, X3066814B, a, 0.12, 10, X3066814B, b, 0.12, 10, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T226308720A, 1, L2821087, A, 7.2, 75, X2821087A, a, 0.12, 75, X2821087A, b, 0.12, 75, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5355595B, 1, L2860479, B, 7.2, 10, X2860479B, a, 0.12, 10, X2860479B, b, 0.12, 10, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T2224387113A, 1, L3728042, A, 7.2, 37.5, X3728042A, a, 0.12, 37.5, X3728042A, b, 0.12, 37.5, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21397005A, 1, L2935557, A, 7.2, 37.5, X2935557A, a, 0.12, 37.5, X2935557A, b, 0.12, 37.5, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5274985C, 1, L2822864, C, 7.2, 15, X2822864C, a, 0.12, 15, X2822864C, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5321836A, 1, L3235247, A, 7.2, 15, X3235247A, a, 0.12, 15, X3235247A, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T225673440A, 1, L3251807, A, 7.2, 25, X3251807A, a, 0.12, 25, X3251807A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5337641C, 1, L2804282, C, 7.2, 15, X2804282C, a, 0.12, 15, X2804282C, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5293659C, 1, L2935560, C, 7.2, 15, X2935560C, a, 0.12, 15, X2935560C, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5339011B, 1, L3104145, B, 7.2, 15, X3104145B, a, 0.12, 15, X3104145B, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5218473A, 1, L3086078, A, 7.2, 25, X3086078A, a, 0.12, 25, X3086078A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T28121587A, 1, L2860477, A, 7.2, 15, X2860477A, a, 0.12, 15, X2860477A, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T2224230689C, 1, L3645811, C, 7.2, 75, X3645811C, a, 0.12, 75, X3645811C, b, 0.12, 75, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T227734175B, 1, L3102793, B, 7.2, 25, X3102793B, a, 0.12, 25, X3102793B, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T5337694B, 1, L2991910, B, 7.2, 15, X2991910B, a, 0.12, 15, X2991910B, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21357515A, 1, L2710511, A, 7.2, 25, X2710511A, a, 0.12, 25, X2710511A, b, 0.12, 25, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T28127390C, 1, L2860486, C, 7.2, 15, X2860486C, a, 0.12, 15, X2860486C, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
T21387929C, 1, L2935551, C, 7.2, 15, X2935551C, a, 0.12, 15, X2935551C, b, 0.12, 15, 0.5, 0.6, 1.2, 1.2, 0.2, 2.04, 2.04, 1.36 
