# Triplex lines connecting the secondary of the service transformers (MV/LV) to 120/240V loada
# These lines are defined (see Triplex_linecodes.dss) as 2-phase lines
# See transformer connection for the meaning of nodes 1 and 2 at the secondary buses.

name, Bus1, phases, Bus2, phases, Linecode, Length, Units
Tpx138560A0, X3104113A, ab,  SX3104113A, ab,   4/0Triplex, 50, ft 
Tpx138561A0, X3104121A, ab,  SX3104121A, ab,   4/0Triplex, 50, ft 
Tpx138562A0, X2673310A, ab,  SX2673310A, ab,   4/0Triplex, 50, ft 
Tpx138563A0, X2916627A, ab,  SX2916627A, ab,   4/0Triplex, 50, ft 
Tpx138564A0, X2804283A, ab,  SX2804283A, ab,   4/0Triplex, 50, ft 
Tpx138565A0, X3104122A, ab,  SX3104122A, ab,   4/0Triplex, 50, ft 
Tpx138566A0, X2785519A, ab,  SX2785519A, ab,   4/0Triplex, 50, ft 
Tpx138567A0, X2748129A, ab,  SX2748129A, ab,   4/0Triplex, 50, ft 
Tpx138569A0, X2973151A, ab,  SX2973151A, ab,   4/0Triplex, 50, ft 
Tpx138570A0, X2748146A, ab,  SX2748146A, ab,   4/0Triplex, 50, ft 
Tpx138571A0, X2991913A, ab,  SX2991913A, ab,   4/0Triplex, 50, ft 
Tpx138573A0, X3235253A, ab,  SX3235253A, ab,   4/0Triplex, 50, ft 
Tpx138574A0, X2991907A, ab,  SX2991907A, ab,   4/0Triplex, 50, ft 
Tpx138581A0, X2879064A, ab,  SX2879064A, ab,   4/0Triplex, 50, ft 
Tpx138585C0, X3197637C, ab,  SX3197637C, ab,   4/0Triplex, 50, ft 
Tpx138586C0, X2860487C, ab,  SX2860487C, ab,   4/0Triplex, 50, ft 
Tpx138641C0, X2841638C, ab,  SX2841638C, ab,   4/0Triplex, 50, ft 
Tpx138642A0, X3235256A, ab,  SX3235256A, ab,   4/0Triplex, 50, ft 
Tpx138644A0, X3197630A, ab,  SX3197630A, ab,   4/0Triplex, 50, ft 
Tpx138645B0, X3104120B, ab,  SX3104120B, ab,   4/0Triplex, 50, ft 
Tpx138646A0, X2804251A, ab,  SX2804251A, ab,   4/0Triplex, 50, ft 
Tpx138647C0, X3254210C, ab,  SX3254210C, ab,   4/0Triplex, 50, ft 
Tpx138649A0, X3048206A, ab,  SX3048206A, ab,   4/0Triplex, 50, ft 
Tpx138650C0, X2710510C, ab,  SX2710510C, ab,   4/0Triplex, 50, ft 
Tpx138651C0, X3197628C, ab,  SX3197628C, ab,   4/0Triplex, 50, ft 
Tpx138652C0, X2766718C, ab,  SX2766718C, ab,   4/0Triplex, 50, ft 
Tpx138655A0, X3010556A, ab,  SX3010556A, ab,   4/0Triplex, 50, ft 
Tpx138679A0, X2710520A, ab,  SX2710520A, ab,   4/0Triplex, 50, ft 
Tpx138680A0, X2710521A, ab,  SX2710521A, ab,   4/0Triplex, 50, ft 
Tpx138684A0, X3085396A, ab,  SX3085396A, ab,   4/0Triplex, 50, ft 
Tpx138685A0, X3122813A, ab,  SX3122813A, ab,   4/0Triplex, 50, ft 
Tpx138716C0, X3254219C, ab,  SX3254219C, ab,   4/0Triplex, 50, ft 
Tpx138717C0, X3254220C, ab,  SX3254220C, ab,   4/0Triplex, 50, ft 
Tpx138718C0, X3104134C, ab,  SX3104134C, ab,   4/0Triplex, 50, ft 
Tpx138719A0, X2860490A, ab,  SX2860490A, ab,   4/0Triplex, 50, ft 
Tpx138720A0, X3254218A, ab,  SX3254218A, ab,   4/0Triplex, 50, ft 
Tpx138751B0, X3066818B, ab,  SX3066818B, ab,   4/0Triplex, 50, ft 
Tpx138752B0, X2785528B, ab,  SX2785528B, ab,   4/0Triplex, 50, ft 
Tpx138753B0, X2748130B, ab,  SX2748130B, ab,   4/0Triplex, 50, ft 
Tpx138754B0, X3254212B, ab,  SX3254212B, ab,   4/0Triplex, 50, ft 
Tpx138755B0, X2785520B, ab,  SX2785520B, ab,   4/0Triplex, 50, ft 
Tpx138769A0, X2729411A, ab,  SX2729411A, ab,   4/0Triplex, 50, ft 
Tpx138770A0, X2897781A, ab,  SX2897781A, ab,   4/0Triplex, 50, ft 
Tpx138771A0, X3197644A, ab,  SX3197644A, ab,   4/0Triplex, 50, ft 
Tpx138776C0, X3010566C, ab,  SX3010566C, ab,   4/0Triplex, 50, ft 
Tpx138796B0, X3236011B, ab,  SX3236011B, ab,   4/0Triplex, 50, ft 
Tpx138797B0, X3198358B, ab,  SX3198358B, ab,   4/0Triplex, 50, ft 
Tpx138798B0, X3104859B, ab,  SX3104859B, ab,   4/0Triplex, 50, ft 
Tpx157715B0, X2936275B, ab,  SX2936275B, ab,   4/0Triplex, 50, ft 
Tpx157716B0, X3179674B, ab,  SX3179674B, ab,   4/0Triplex, 50, ft 
Tpx157717B0, X2748840B, ab,  SX2748840B, ab,   4/0Triplex, 50, ft 
Tpx157718B0, X3142099B, ab,  SX3142099B, ab,   4/0Triplex, 50, ft 
Tpx207286C0, X3011298C, ab,  SX3011298C, ab,   4/0Triplex, 50, ft 
Tpx207287B0, X2711234B, ab,  SX2711234B, ab,   4/0Triplex, 50, ft 
Tpx207288B0, X3198355B, ab,  SX3198355B, ab,   4/0Triplex, 50, ft 
Tpx207290A0, X2879773A, ab,  SX2879773A, ab,   4/0Triplex, 50, ft 
Tpx207291C0, X2786274C, ab,  SX2786274C, ab,   4/0Triplex, 50, ft 
Tpx207292C0, X3179682C, ab,  SX3179682C, ab,   4/0Triplex, 50, ft 
Tpx218472A0, X2936270A, ab,  SX2936270A, ab,   4/0Triplex, 50, ft 
Tpx218473A0, X3086078A, ab,  SX3086078A, ab,   4/0Triplex, 50, ft 
Tpx218474A0, X3217056A, ab,  SX3217056A, ab,   4/0Triplex, 50, ft 
Tpx218475A0, X3217057A, ab,  SX3217057A, ab,   4/0Triplex, 50, ft 
Tpx223655C0, X2936268C, ab,  SX2936268C, ab,   4/0Triplex, 50, ft 
Tpx223658A0, X2823592A, ab,  SX2823592A, ab,   4/0Triplex, 50, ft 
Tpx223660C0, X3160863C, ab,  SX3160863C, ab,   4/0Triplex, 50, ft 
Tpx223661C0, X2730108C, ab,  SX2730108C, ab,   4/0Triplex, 50, ft 
Tpx223662C0, X2786204C, ab,  SX2786204C, ab,   4/0Triplex, 50, ft 
Tpx223663C0, X2936216C, ab,  SX2936216C, ab,   4/0Triplex, 50, ft 
Tpx247036C0, X3029498C, ab,  SX3029498C, ab,   4/0Triplex, 50, ft 
Tpx247056A0, X2991912A, ab,  SX2991912A, ab,   4/0Triplex, 50, ft 
Tpx247057A0, X3104128A, ab,  SX3104128A, ab,   4/0Triplex, 50, ft 
Tpx247058A0, X2673315A, ab,  SX2673315A, ab,   4/0Triplex, 50, ft 
Tpx247059A0, X2766721A, ab,  SX2766721A, ab,   4/0Triplex, 50, ft 
Tpx247060A0, X2991906A, ab,  SX2991906A, ab,   4/0Triplex, 50, ft 
Tpx247061A0, X2879054A, ab,  SX2879054A, ab,   4/0Triplex, 50, ft 
Tpx247084B0, X3254211B, ab,  SX3254211B, ab,   4/0Triplex, 50, ft 
Tpx247100B0, X2729407B, ab,  SX2729407B, ab,   4/0Triplex, 50, ft 
Tpx247105B0, X2691942B, ab,  SX2691942B, ab,   4/0Triplex, 50, ft 
Tpx247122B0, X3197629B, ab,  SX3197629B, ab,   4/0Triplex, 50, ft 
Tpx247126B0, X2879065B, ab,  SX2879065B, ab,   4/0Triplex, 50, ft 
Tpx247160B0, X0247160B, ab,  SX0247160B, ab,   4/0Triplex, 50, ft 
Tpx247162B0, X0247162B, ab,  SX0247162B, ab,   4/0Triplex, 50, ft 
Tpx247164B0, X2766732B, ab,  SX2766732B, ab,   4/0Triplex, 50, ft 
Tpx247170B0, X2897784B, ab,  SX2897784B, ab,   4/0Triplex, 50, ft 
Tpx247171B0, X0247171B, ab,  SX0247171B, ab,   4/0Triplex, 50, ft 
Tpx247184C0, X2936279C, ab,  SX2936279C, ab,   4/0Triplex, 50, ft 
Tpx247185B0, X3179678B, ab,  SX3179678B, ab,   4/0Triplex, 50, ft 
Tpx251828B0, X3179650B, ab,  SX3179650B, ab,   4/0Triplex, 50, ft 
Tpx251855C0, X2730107C, ab,  SX2730107C, ab,   4/0Triplex, 50, ft 
Tpx251856C0, X3048888C, ab,  SX3048888C, ab,   4/0Triplex, 50, ft 
Tpx251857C0, X3064514C, ab,  SX3064514C, ab,   4/0Triplex, 50, ft 
Tpx251858C0, X2861158C, ab,  SX2861158C, ab,   4/0Triplex, 50, ft 
Tpx251859C0, X2952007C, ab,  SX2952007C, ab,   4/0Triplex, 50, ft 
Tpx251862C0, X3254873C, ab,  SX3254873C, ab,   4/0Triplex, 50, ft 
Tpx251863C0, X2745811C, ab,  SX2745811C, ab,   4/0Triplex, 50, ft 
Tpx251865C0, X3142050C, ab,  SX3142050C, ab,   4/0Triplex, 50, ft 
Tpx251867C0, X2861157C, ab,  SX2861157C, ab,   4/0Triplex, 50, ft 
Tpx260457B0, X3086079B, ab,  SX3086079B, ab,   4/0Triplex, 50, ft 
Tpx260458B0, X2936276B, ab,  SX2936276B, ab,   4/0Triplex, 50, ft 
Tpx260461B0, X2861223B, ab,  SX2861223B, ab,   4/0Triplex, 50, ft 
Tpx260463B0, X3086075B, ab,  SX3086075B, ab,   4/0Triplex, 50, ft 
Tpx260464A0, X2730187A, ab,  SX2730187A, ab,   4/0Triplex, 50, ft 
Tpx260467A0, X3104856A, ab,  SX3104856A, ab,   4/0Triplex, 50, ft 
Tpx260473A0, X2861222A, ab,  SX2861222A, ab,   4/0Triplex, 50, ft 
Tpx260474A0, X2917330A, ab,  SX2917330A, ab,   4/0Triplex, 50, ft 
Tpx260475A0, X2879794A, ab,  SX2879794A, ab,   4/0Triplex, 50, ft 
Tpx260476A0, X2936271A, ab,  SX2936271A, ab,   4/0Triplex, 50, ft 
Tpx260479A0, X2955074A, ab,  SX2955074A, ab,   4/0Triplex, 50, ft 
Tpx260480C0, X3030199C, ab,  SX3030199C, ab,   4/0Triplex, 50, ft 
Tpx260481C0, X2730163C, ab,  SX2730163C, ab,   4/0Triplex, 50, ft 
Tpx260484A0, X2992624A, ab,  SX2992624A, ab,   4/0Triplex, 50, ft 
Tpx260487A0, X2692654A, ab,  SX2692654A, ab,   4/0Triplex, 50, ft 
Tpx260488A0, X2842379A, ab,  SX2842379A, ab,   4/0Triplex, 50, ft 
Tpx260491C0, X2805031C, ab,  SX2805031C, ab,   4/0Triplex, 50, ft 
Tpx260494B0, X3068944B, ab,  SX3068944B, ab,   4/0Triplex, 50, ft 
Tpx260495B0, X2767407B, ab,  SX2767407B, ab,   4/0Triplex, 50, ft 
Tpx260496B0, X2879767B, ab,  SX2879767B, ab,   4/0Triplex, 50, ft 
Tpx260500B0, X2711224B, ab,  SX2711224B, ab,   4/0Triplex, 50, ft 
Tpx260501B0, X3142098B, ab,  SX3142098B, ab,   4/0Triplex, 50, ft 
Tpx260502B0, X2748839B, ab,  SX2748839B, ab,   4/0Triplex, 50, ft 
Tpx260503B0, X2917310B, ab,  SX2917310B, ab,   4/0Triplex, 50, ft 
Tpx260505C0, X2861218C, ab,  SX2861218C, ab,   4/0Triplex, 50, ft 
Tpx260508A0, X2955081A, ab,  SX2955081A, ab,   4/0Triplex, 50, ft 
Tpx260511C0, X3160878C, ab,  SX3160878C, ab,   4/0Triplex, 50, ft 
Tpx260513C0, X2917336C, ab,  SX2917336C, ab,   4/0Triplex, 50, ft 
Tpx260514C0, X2674047C, ab,  SX2674047C, ab,   4/0Triplex, 50, ft 
Tpx260515A0, X3160865A, ab,  SX3160865A, ab,   4/0Triplex, 50, ft 
Tpx260517C0, X2767408C, ab,  SX2767408C, ab,   4/0Triplex, 50, ft 
Tpx260518C0, X3104853C, ab,  SX3104853C, ab,   4/0Triplex, 50, ft 
Tpx260520B0, X3254915B, ab,  SX3254915B, ab,   4/0Triplex, 50, ft 
Tpx260521B0, X3048963B, ab,  SX3048963B, ab,   4/0Triplex, 50, ft 
Tpx260527B0, X2711226B, ab,  SX2711226B, ab,   4/0Triplex, 50, ft 
Tpx260528C0, X3217052C, ab,  SX3217052C, ab,   4/0Triplex, 50, ft 
Tpx260529C0, X3217053C, ab,  SX3217053C, ab,   4/0Triplex, 50, ft 
Tpx260532C0, X3086074C, ab,  SX3086074C, ab,   4/0Triplex, 50, ft 
Tpx260535C0, X3067507C, ab,  SX3067507C, ab,   4/0Triplex, 50, ft 
Tpx260542A0, X2955078A, ab,  SX2955078A, ab,   4/0Triplex, 50, ft 
Tpx260543C0, X2955077C, ab,  SX2955077C, ab,   4/0Triplex, 50, ft 
Tpx260551C0, X3160872C, ab,  SX3160872C, ab,   4/0Triplex, 50, ft 
Tpx260552A0, X3198348A, ab,  SX3198348A, ab,   4/0Triplex, 50, ft 
Tpx260553C0, X2711225C, ab,  SX2711225C, ab,   4/0Triplex, 50, ft 
Tpx260554C0, X3030200C, ab,  SX3030200C, ab,   4/0Triplex, 50, ft 
Tpx260555A0, X3048962A, ab,  SX3048962A, ab,   4/0Triplex, 50, ft 
Tpx260558C0, X3160861C, ab,  SX3160861C, ab,   4/0Triplex, 50, ft 
Tpx260561C0, X3104850C, ab,  SX3104850C, ab,   4/0Triplex, 50, ft 
Tpx260562A0, X3251799A, ab,  SX3251799A, ab,   4/0Triplex, 50, ft 
Tpx260567C0, X2936211C, ab,  SX2936211C, ab,   4/0Triplex, 50, ft 
Tpx260568C0, X2842329C, ab,  SX2842329C, ab,   4/0Triplex, 50, ft 
Tpx260569C0, X3104796C, ab,  SX3104796C, ab,   4/0Triplex, 50, ft 
Tpx260572C0, X3236004C, ab,  SX3236004C, ab,   4/0Triplex, 50, ft 
Tpx260573C0, X3160896C, ab,  SX3160896C, ab,   4/0Triplex, 50, ft 
Tpx260574C0, X3123452C, ab,  SX3123452C, ab,   4/0Triplex, 50, ft 
Tpx260575B0, X3254869B, ab,  SX3254869B, ab,   4/0Triplex, 50, ft 
Tpx260576C0, X3030126C, ab,  SX3030126C, ab,   4/0Triplex, 50, ft 
Tpx260577C0, X2767341C, ab,  SX2767341C, ab,   4/0Triplex, 50, ft 
Tpx260581C0, X3254870C, ab,  SX3254870C, ab,   4/0Triplex, 50, ft 
Tpx260586B0, X3048887B, ab,  SX3048887B, ab,   4/0Triplex, 50, ft 
Tpx260589B0, X2955005B, ab,  SX2955005B, ab,   4/0Triplex, 50, ft 
Tpx260590B0, X3216988B, ab,  SX3216988B, ab,   4/0Triplex, 50, ft 
Tpx260591B0, X3179607B, ab,  SX3179607B, ab,   4/0Triplex, 50, ft 
Tpx260594A0, X2898457A, ab,  SX2898457A, ab,   4/0Triplex, 50, ft 
Tpx260595A0, X2767340A, ab,  SX2767340A, ab,   4/0Triplex, 50, ft 
Tpx260595B0, X2767340B, ab,  SX2767340B, ab,   4/0Triplex, 50, ft 
Tpx260595C0, X2767340C, ab,  SX2767340C, ab,   4/0Triplex, 50, ft 
Tpx260598A0, X3067478A, ab,  SX3067478A, ab,   4/0Triplex, 50, ft 
Tpx260601C0, X2730149C, ab,  SX2730149C, ab,   4/0Triplex, 50, ft 
Tpx260602B0, X2989566B, ab,  SX2989566B, ab,   4/0Triplex, 50, ft 
Tpx260605A0, X2973791A, ab,  SX2973791A, ab,   4/0Triplex, 50, ft 
Tpx260607B0, X3029055B, ab,  SX3029055B, ab,   4/0Triplex, 50, ft 
Tpx260620C0, X3067506C, ab,  SX3067506C, ab,   4/0Triplex, 50, ft 
Tpx260621C0, X2898515C, ab,  SX2898515C, ab,   4/0Triplex, 50, ft 
Tpx260622C0, X3198347C, ab,  SX3198347C, ab,   4/0Triplex, 50, ft 
Tpx260624C0, X3048946C, ab,  SX3048946C, ab,   4/0Triplex, 50, ft 
Tpx260625C0, X3048966C, ab,  SX3048966C, ab,   4/0Triplex, 50, ft 
Tpx260627A0, X2992656A, ab,  SX2992656A, ab,   4/0Triplex, 50, ft 
Tpx260630B0, X2973833B, ab,  SX2973833B, ab,   4/0Triplex, 50, ft 
Tpx260631A0, X2786266A, ab,  SX2786266A, ab,   4/0Triplex, 50, ft 
Tpx260632A0, X2917333A, ab,  SX2917333A, ab,   4/0Triplex, 50, ft 
Tpx260634A0, X2842383A, ab,  SX2842383A, ab,   4/0Triplex, 50, ft 
Tpx260637C0, X2842384C, ab,  SX2842384C, ab,   4/0Triplex, 50, ft 
Tpx260638C0, X3160871C, ab,  SX3160871C, ab,   4/0Triplex, 50, ft 
Tpx260639C0, X3030203C, ab,  SX3030203C, ab,   4/0Triplex, 50, ft 
Tpx260640C0, X3179673C, ab,  SX3179673C, ab,   4/0Triplex, 50, ft 
Tpx260641B0, X3048965B, ab,  SX3048965B, ab,   4/0Triplex, 50, ft 
Tpx260643A0, X2692660A, ab,  SX2692660A, ab,   4/0Triplex, 50, ft 
Tpx260647A0, X2805034A, ab,  SX2805034A, ab,   4/0Triplex, 50, ft 
Tpx260648A0, X2898522A, ab,  SX2898522A, ab,   4/0Triplex, 50, ft 
Tpx260650A0, X2692661A, ab,  SX2692661A, ab,   4/0Triplex, 50, ft 
Tpx262075C0, X3067448C, ab,  SX3067448C, ab,   4/0Triplex, 50, ft 
Tpx274903C0, X2935552C, ab,  SX2935552C, ab,   4/0Triplex, 50, ft 
Tpx274985C0, X2822864C, ab,  SX2822864C, ab,   4/0Triplex, 50, ft 
Tpx274986C0, X2822865C, ab,  SX2822865C, ab,   4/0Triplex, 50, ft 
Tpx274987C0, X2916605C, ab,  SX2916605C, ab,   4/0Triplex, 50, ft 
Tpx274988C0, X3085394C, ab,  SX3085394C, ab,   4/0Triplex, 50, ft 
Tpx274992C0, X2804250C, ab,  SX2804250C, ab,   4/0Triplex, 50, ft 
Tpx274994C0, X3048205C, ab,  SX3048205C, ab,   4/0Triplex, 50, ft 
Tpx274997C0, X3048228C, ab,  SX3048228C, ab,   4/0Triplex, 50, ft 
Tpx274999C0, X2935550C, ab,  SX2935550C, ab,   4/0Triplex, 50, ft 
Tpx275000C0, X2710509C, ab,  SX2710509C, ab,   4/0Triplex, 50, ft 
Tpx275001C0, X2822862C, ab,  SX2822862C, ab,   4/0Triplex, 50, ft 
Tpx275002C0, X3066806C, ab,  SX3066806C, ab,   4/0Triplex, 50, ft 
Tpx275007C0, X2916606C, ab,  SX2916606C, ab,   4/0Triplex, 50, ft 
Tpx275008C0, X3235243C, ab,  SX3235243C, ab,   4/0Triplex, 50, ft 
Tpx275247B0, X2786273B, ab,  SX2786273B, ab,   4/0Triplex, 50, ft 
Tpx275248B0, X2805036B, ab,  SX2805036B, ab,   4/0Triplex, 50, ft 
Tpx293422C0, X3178997C, ab,  SX3178997C, ab,   4/0Triplex, 50, ft 
Tpx293423B0, X3122849B, ab,  SX3122849B, ab,   4/0Triplex, 50, ft 
Tpx293424C0, X2766750C, ab,  SX2766750C, ab,   4/0Triplex, 50, ft 
Tpx293425A0, X2763153A, ab,  SX2763153A, ab,   4/0Triplex, 50, ft 
Tpx293427C0, X3104157C, ab,  SX3104157C, ab,   4/0Triplex, 50, ft 
Tpx293471A0, X_293471A, ab,  SX_293471A, ab,  4/0Triplex, 50, ft 
Tpx293471B0, X_293471B, ab,  SX_293471B, ab,  4/0Triplex, 50, ft 
Tpx293471C0, X_293471C, ab,  SX_293471C, ab,  4/0Triplex, 50, ft 
Tpx293480A0, X2748158A, ab,  SX2748158A, ab,   4/0Triplex, 50, ft 
Tpx293483A0, X3104133A, ab,  SX3104133A, ab,   4/0Triplex, 50, ft 
Tpx293486C0, X2673346C, ab,  SX2673346C, ab,   4/0Triplex, 50, ft 
Tpx293487B0, X3254238B, ab,  SX3254238B, ab,   4/0Triplex, 50, ft 
Tpx293490C0, X3048230C, ab,  SX3048230C, ab,   4/0Triplex, 50, ft 
Tpx293492C0, X2841637C, ab,  SX2841637C, ab,   4/0Triplex, 50, ft 
Tpx293518B0, X2897780B, ab,  SX2897780B, ab,   4/0Triplex, 50, ft 
Tpx293519B0, X3235255B, ab,  SX3235255B, ab,   4/0Triplex, 50, ft 
Tpx293521A0, X3216370A, ab,  SX3216370A, ab,   4/0Triplex, 50, ft 
Tpx293521B0, X3216370B, ab,  SX3216370B, ab,   4/0Triplex, 50, ft 
Tpx293521C0, X3216370C, ab,  SX3216370C, ab,   4/0Triplex, 50, ft 
Tpx293522A0, X2785527A, ab,  SX2785527A, ab,   4/0Triplex, 50, ft 
Tpx293523A0, X2766729A, ab,  SX2766729A, ab,   4/0Triplex, 50, ft 
Tpx293591A0, X3197641A, ab,  SX3197641A, ab,   4/0Triplex, 50, ft 
Tpx293592A0, X2973161A, ab,  SX2973161A, ab,   4/0Triplex, 50, ft 
Tpx293608C0, X2673306C, ab,  SX2673306C, ab,   4/0Triplex, 50, ft 
Tpx293609C0, X2785515C, ab,  SX2785515C, ab,   4/0Triplex, 50, ft 
Tpx293644A0, X2729429A, ab,  SX2729429A, ab,   4/0Triplex, 50, ft 
Tpx293645A0, X2841633A, ab,  SX2841633A, ab,   4/0Triplex, 50, ft 
Tpx293652A0, X3235258A, ab,  SX3235258A, ab,   4/0Triplex, 50, ft 
Tpx293652B0, X3235258B, ab,  SX3235258B, ab,   4/0Triplex, 50, ft 
Tpx293652C0, X3235258C, ab,  SX3235258C, ab,   4/0Triplex, 50, ft 
Tpx293655A0, X2729414A, ab,  SX2729414A, ab,   4/0Triplex, 50, ft 
Tpx293655B0, X2729414B, ab,  SX2729414B, ab,   4/0Triplex, 50, ft 
Tpx293655C0, X2729414C, ab,  SX2729414C, ab,   4/0Triplex, 50, ft 
Tpx293656B0, X2973167B, ab,  SX2973167B, ab,   4/0Triplex, 50, ft 
Tpx293657B0, X3189189B, ab,  SX3189189B, ab,   4/0Triplex, 50, ft 
Tpx293658C0, X3189188C, ab,  SX3189188C, ab,   4/0Triplex, 50, ft 
Tpx293659C0, X2935560C, ab,  SX2935560C, ab,   4/0Triplex, 50, ft 
Tpx293660B0, X2916610B, ab,  SX2916610B, ab,   4/0Triplex, 50, ft 
Tpx293663C0, X3216368C, ab,  SX3216368C, ab,   4/0Triplex, 50, ft 
Tpx293664A0, X3207907A, ab,  SX3207907A, ab,   4/0Triplex, 50, ft 
Tpx293664B0, X3207907B, ab,  SX3207907B, ab,   4/0Triplex, 50, ft 
Tpx293664C0, X3207907C, ab,  SX3207907C, ab,   4/0Triplex, 50, ft 
Tpx293665C0, X2973166C, ab,  SX2973166C, ab,   4/0Triplex, 50, ft 
Tpx293666C0, X2710532C, ab,  SX2710532C, ab,   4/0Triplex, 50, ft 
Tpx293667A0, X2860504A, ab,  SX2860504A, ab,   4/0Triplex, 50, ft 
Tpx293668A0, X3085403A, ab,  SX3085403A, ab,   4/0Triplex, 50, ft 
Tpx293672A0, X2954355A, ab,  SX2954355A, ab,   4/0Triplex, 50, ft 
Tpx293673A0, X3122827A, ab,  SX3122827A, ab,   4/0Triplex, 50, ft 
Tpx293681A0, X3195751A, ab,  SX3195751A, ab,   4/0Triplex, 50, ft 
Tpx294786C0, X2766724C, ab,  SX2766724C, ab,   4/0Triplex, 50, ft 
Tpx294787A0, X3197647A, ab,  SX3197647A, ab,   4/0Triplex, 50, ft 
Tpx294788A0, X2821010A, ab,  SX2821010A, ab,   4/0Triplex, 50, ft 
Tpx294789A0, X2895461A, ab,  SX2895461A, ab,   4/0Triplex, 50, ft 
Tpx294809A0, X2952014A, ab,  SX2952014A, ab,   4/0Triplex, 50, ft 
Tpx294810A0, X3010585A, ab,  SX3010585A, ab,   4/0Triplex, 50, ft 
Tpx294812A0, X3120502A, ab,  SX3120502A, ab,   4/0Triplex, 50, ft 
Tpx294842A0, X3101789A, ab,  SX3101789A, ab,   4/0Triplex, 50, ft 
Tpx294843A0, X3178982A, ab,  SX3178982A, ab,   4/0Triplex, 50, ft 
Tpx294844A0, X2841623A, ab,  SX2841623A, ab,   4/0Triplex, 50, ft 
Tpx294845A0, X3010563A, ab,  SX3010563A, ab,   4/0Triplex, 50, ft 
Tpx302367B0, X2766727B, ab,  SX2766727B, ab,   4/0Triplex, 50, ft 
Tpx302368B0, X3029507B, ab,  SX3029507B, ab,   4/0Triplex, 50, ft 
Tpx302369B0, X3197643B, ab,  SX3197643B, ab,   4/0Triplex, 50, ft 
Tpx302370B0, X3122823B, ab,  SX3122823B, ab,   4/0Triplex, 50, ft 
Tpx302373B0, X2766726B, ab,  SX2766726B, ab,   4/0Triplex, 50, ft 
Tpx302374B0, X2785526B, ab,  SX2785526B, ab,   4/0Triplex, 50, ft 
Tpx302375B0, X2973162B, ab,  SX2973162B, ab,   4/0Triplex, 50, ft 
Tpx302392A0, X3010570A, ab,  SX3010570A, ab,   4/0Triplex, 50, ft 
Tpx302400A0, X2991919A, ab,  SX2991919A, ab,   4/0Triplex, 50, ft 
Tpx302402A0, X3122824A, ab,  SX3122824A, ab,   4/0Triplex, 50, ft 
