#  Loads are defined as two 120V loads connected line to neutral
#  Phase designation "ab" implies two 120V loads
#  kW load is divided equally between the two 120V "phases"
#  Status: fixed=does not vary (load multipliers do not apply)

Name, NumPhases, Bus, phases, Voltage, status, model, connection, kW, PF
138574A0, 2, SX2991907A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
138581A0, 2, SX2879064A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
138585C0, 2, SX3197637C, ab,  120.0,  variable, 1,  wye, 4.07, 0.97
138586C0, 2, SX2860487C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
138641C0, 2, SX2841638C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
138642A0, 2, SX3235256A, ab,  120.0,  variable, 1,  wye, 5.32, 0.97
138644A0, 2, SX3197630A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
138645B0, 2, SX3104120B, ab,  120.0,  variable, 1,  wye, 5.84, 0.97
138646A0, 2, SX2804251A, ab,  120.0,  variable, 1,  wye, 3.55, 0.97
138647C0, 2, SX3254210C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
138649A0, 2, SX3048206A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
138650C0, 2, SX2710510C, ab,  120.0,  variable, 1,  wye, 4.07, 0.97
138651C0, 2, SX3197628C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
138652C0, 2, SX2766718C, ab,  120.0,  variable, 1,  wye, 15.26, 0.97
138655A0, 2, SX3010556A, ab,  120.0,  variable, 1,  wye, 5.32, 0.97
138679A0, 2, SX2710520A, ab,  120.0,  variable, 1,  wye, 5.32, 0.97
138680A0, 2, SX2710521A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
138684A0, 2, SX3085396A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
138685A0, 2, SX3122813A, ab,  120.0,  variable, 1,  wye, 5.32, 0.97
138716C0, 2, SX3254219C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
138717C0, 2, SX3254220C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
138718C0, 2, SX3104134C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
138719A0, 2, SX2860490A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
138720A0, 2, SX3254218A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
138751B0, 2, SX3066818B, ab,  120.0,  variable, 1,  wye, 9.73, 0.97
138752B0, 2, SX2785528B, ab,  120.0,  variable, 1,  wye, 5.84, 0.97
138753B0, 2, SX2748130B, ab,  120.0,  variable, 1,  wye, 9.73, 0.97
138754B0, 2, SX3254212B, ab,  120.0,  variable, 1,  wye, 14.59, 0.97
138755B0, 2, SX2785520B, ab,  120.0,  variable, 1,  wye, 3.89, 0.97
138769A0, 2, SX2729411A, ab,  120.0,  variable, 1,  wye, 3.55, 0.97
138770A0, 2, SX2897781A, ab,  120.0,  variable, 1,  wye, 3.55, 0.97
138771A0, 2, SX3197644A, ab,  120.0,  variable, 1,  wye, 5.32, 0.97
138776C0, 2, SX3010566C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
138796B0, 2, SX3236011B, ab,  120.0,  variable, 1,  wye, 5.84, 0.97
138797B0, 2, SX3198358B, ab,  120.0,  variable, 1,  wye, 14.59, 0.97
138798B0, 2, SX3104859B, ab,  120.0,  variable, 1,  wye, 5.84, 0.97
157715B0, 2, SX2936275B, ab,  120.0,  variable, 1,  wye, 3.89, 0.97
157716B0, 2, SX3179674B, ab,  120.0,  variable, 1,  wye, 9.73, 0.97
157717B0, 2, SX2748840B, ab,  120.0,  variable, 1,  wye, 5.84, 0.97
157718B0, 2, SX3142099B, ab,  120.0,  variable, 1,  wye, 9.73, 0.97
207286C0, 2, SX3011298C, ab,  120.0,  variable, 1,  wye, 4.07, 0.97
207287B0, 2, SX2711234B, ab,  120.0,  variable, 1,  wye, 9.73, 0.97
207288B0, 2, SX3198355B, ab,  120.0,  variable, 1,  wye, 3.89, 0.97
207290A0, 2, SX2879773A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
207291C0, 2, SX2786274C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
207292C0, 2, SX3179682C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
218472A0, 2, SX2936270A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
218473A0, 2, SX3086078A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
218474A0, 2, SX3217056A, ab,  120.0,  variable, 1,  wye, 17.74, 0.97
218475A0, 2, SX3217057A, ab,  120.0,  variable, 1,  wye, 3.55, 0.97
223655C0, 2, SX2936268C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
223658A0, 2, SX2823592A, ab,  120.0,  variable, 1,  wye, 1.77, 0.97
223660C0, 2, SX3160863C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
223661C0, 2, SX2730108C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
223662C0, 2, SX2786204C, ab,  120.0,  variable, 1,  wye, 15.26, 0.97
223663C0, 2, SX2936216C, ab,  120.0,  variable, 1,  wye, 4.07, 0.97
247036C0, 2, SX3029498C, ab,  120.0,  variable, 1,  wye, 4.07, 0.97
247056A0, 2, SX2991912A, ab,  120.0,  variable, 1,  wye, 5.32, 0.97
247057A0, 2, SX3104128A, ab,  120.0,  variable, 1,  wye, 5.32, 0.97
247058A0, 2, SX2673315A, ab,  120.0,  variable, 1,  wye, 3.55, 0.97
247059A0, 2, SX2766721A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
247060A0, 2, SX2991906A, ab,  120.0,  variable, 1,  wye, 3.55, 0.97
247061A0, 2, SX2879054A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
247084B0, 2, SX3254211B, ab,  120.0,  variable, 1,  wye, 9.73, 0.97
247100B0, 2, SX2729407B, ab,  120.0,  variable, 1,  wye, 5.84, 0.97
247105B0, 2, SX2691942B, ab,  120.0,  variable, 1,  wye, 5.84, 0.97
247122B0, 2, SX3197629B, ab,  120.0,  variable, 1,  wye, 5.84, 0.97
247126B0, 2, SX2879065B, ab,  120.0,  variable, 1,  wye, 3.89, 0.97
247160B0, 2, SX0247160B, ab,  120.0,  variable, 1,  wye, 5.84, 0.97
247162B0, 2, SX0247162B, ab,  120.0,  variable, 1,  wye, 5.84, 0.97
247164B0, 2, SX2766732B, ab,  120.0,  variable, 1,  wye, 3.89, 0.97
247170B0, 2, SX2897784B, ab,  120.0,  variable, 1,  wye, 14.59, 0.97
247171B0, 2, SX0247171B, ab,  120.0,  variable, 1,  wye, 5.84, 0.97
247184C0, 2, SX2936279C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
247185B0, 2, SX3179678B, ab,  120.0,  variable, 1,  wye, 5.84, 0.97
251828B0, 2, SX3179650B, ab,  120.0,  variable, 1,  wye, 5.84, 0.97
251855C0, 2, SX2730107C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
251856C0, 2, SX3048888C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
251857C0, 2, SX3064514C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
251858C0, 2, SX2861158C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
251859C0, 2, SX2952007C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
251862C0, 2, SX3254873C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
251863C0, 2, SX2745811C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
251865C0, 2, SX3142050C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
251867C0, 2, SX2861157C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
260457B0, 2, SX3086079B, ab,  120.0,  variable, 1,  wye, 3.89, 0.97
260458B0, 2, SX2936276B, ab,  120.0,  variable, 1,  wye, 3.89, 0.97
260461B0, 2, SX2861223B, ab,  120.0,  variable, 1,  wye, 9.73, 0.97
260463B0, 2, SX3086075B, ab,  120.0,  variable, 1,  wye, 5.84, 0.97
260464A0, 2, SX2730187A, ab,  120.0,  variable, 1,  wye, 13.30, 0.97
260467A0, 2, SX3104856A, ab,  120.0,  variable, 1,  wye, 5.32, 0.97
260473A0, 2, SX2861222A, ab,  120.0,  variable, 1,  wye, 13.30, 0.97
260474A0, 2, SX2917330A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
260475A0, 2, SX2879794A, ab,  120.0,  variable, 1,  wye, 13.30, 0.97
260476A0, 2, SX2936271A, ab,  120.0,  variable, 1,  wye, 5.32, 0.97
260479A0, 2, SX2955074A, ab,  120.0,  variable, 1,  wye, 13.30, 0.97
260480C0, 2, SX3030199C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
260481C0, 2, SX2730163C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
260484A0, 2, SX2992624A, ab,  120.0,  variable, 1,  wye, 5.32, 0.97
260487A0, 2, SX2692654A, ab,  120.0,  variable, 1,  wye, 5.32, 0.97
260488A0, 2, SX2842379A, ab,  120.0,  variable, 1,  wye, 13.30, 0.97
260491C0, 2, SX2805031C, ab,  120.0,  variable, 1,  wye, 15.26, 0.97
260494B0, 2, SX3068944B, ab,  120.0,  variable, 1,  wye, 14.59, 0.97
260495B0, 2, SX2767407B, ab,  120.0,  variable, 1,  wye, 3.89, 0.97
260496B0, 2, SX2879767B, ab,  120.0,  variable, 1,  wye, 3.89, 0.97
260500B0, 2, SX2711224B, ab,  120.0,  variable, 1,  wye, 3.89, 0.97
260501B0, 2, SX3142098B, ab,  120.0,  variable, 1,  wye, 9.73, 0.97
260502B0, 2, SX2748839B, ab,  120.0,  variable, 1,  wye, 3.89, 0.97
260503B0, 2, SX2917310B, ab,  120.0,  variable, 1,  wye, 5.84, 0.97
260505C0, 2, SX2861218C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
260508A0, 2, SX2955081A, ab,  120.0,  variable, 1,  wye, 5.32, 0.97
260511C0, 2, SX3160878C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
260513C0, 2, SX2917336C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
260514C0, 2, SX2674047C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
260515A0, 2, SX3160865A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
260517C0, 2, SX2767408C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
260518C0, 2, SX3104853C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
260520B0, 2, SX3254915B, ab,  120.0,  variable, 1,  wye, 1.95, 0.97
260521B0, 2, SX3048963B, ab,  120.0,  variable, 1,  wye, 5.84, 0.97
260527B0, 2, SX2711226B, ab,  120.0,  variable, 1,  wye, 9.73, 0.97
260528C0, 2, SX3217052C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
260529C0, 2, SX3217053C, ab,  120.0,  variable, 1,  wye, 4.07, 0.97
260532C0, 2, SX3086074C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
260535C0, 2, SX3067507C, ab,  120.0,  variable, 1,  wye, 15.26, 0.97
260542A0, 2, SX2955078A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
260543C0, 2, SX2955077C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
260551C0, 2, SX3160872C, ab,  120.0,  variable, 1,  wye, 15.26, 0.97
260552A0, 2, SX3198348A, ab,  120.0,  variable, 1,  wye, 17.74, 0.97
260553C0, 2, SX2711225C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
260554C0, 2, SX3030200C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
260555A0, 2, SX3048962A, ab,  120.0,  variable, 1,  wye, 13.30, 0.97
260558C0, 2, SX3160861C, ab,  120.0,  variable, 1,  wye, 4.07, 0.97
260561C0, 2, SX3104850C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
260562A0, 2, SX3251799A, ab,  120.0,  variable, 1,  wye, 13.30, 0.97
260567C0, 2, SX2936211C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
260568C0, 2, SX2842329C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
260569C0, 2, SX3104796C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
260572C0, 2, SX3236004C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
260573C0, 2, SX3160896C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
260574C0, 2, SX3123452C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
260575B0, 2, SX3254869B, ab,  120.0,  variable, 1,  wye, 5.84, 0.97
260576C0, 2, SX3030126C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
260577C0, 2, SX2767341C, ab,  120.0,  variable, 1,  wye, 15.26, 0.97
260581C0, 2, SX3254870C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
260586B0, 2, SX3048887B, ab,  120.0,  variable, 1,  wye, 14.59, 0.97
260589B0, 2, SX2955005B, ab,  120.0,  variable, 1,  wye, 5.84, 0.97
260590B0, 2, SX3216988B, ab,  120.0,  variable, 1,  wye, 9.73, 0.97
260591B0, 2, SX3179607B, ab,  120.0,  variable, 1,  wye, 9.73, 0.97
260594A0, 2, SX2898457A, ab,  120.0,  variable, 1,  wye, 3.55, 0.97
260595A0, 2, SX2767340A, ab,  120.0,  fixed,    1,  wye, 26.60, 0.97
260595B0, 2, SX2767340B, ab,  120.0,  fixed,    1,  wye, 29.18, 0.97
260595C0, 2, SX2767340C, ab,  120.0,  fixed,    1,  wye, 30.52, 0.97
260598A0, 2, SX3067478A, ab,  120.0,  variable, 1,  wye, 13.30, 0.97
260601C0, 2, SX2730149C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
260602B0, 2, SX2989566B, ab,  120.0,  variable, 1,  wye, 5.84, 0.97
260605A0, 2, SX2973791A, ab,  120.0,  variable, 1,  wye, 17.74, 0.97
260607B0, 2, SX3029055B, ab,  120.0,  variable, 1,  wye, 14.59, 0.97
260620C0, 2, SX3067506C, ab,  120.0,  variable, 1,  wye, 4.07, 0.97
260621C0, 2, SX2898515C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
260622C0, 2, SX3198347C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
260624C0, 2, SX3048946C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
260625C0, 2, SX3048966C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
260627A0, 2, SX2992656A, ab,  120.0,  variable, 1,  wye, 13.30, 0.97
260630B0, 2, SX2973833B, ab,  120.0,  variable, 1,  wye, 5.84, 0.97
260631A0, 2, SX2786266A, ab,  120.0,  variable, 1,  wye, 5.32, 0.97
260632A0, 2, SX2917333A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
260634A0, 2, SX2842383A, ab,  120.0,  variable, 1,  wye, 5.32, 0.97
260637C0, 2, SX2842384C, ab,  120.0,  variable, 1,  wye, 4.07, 0.97
260638C0, 2, SX3160871C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
260639C0, 2, SX3030203C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
260640C0, 2, SX3179673C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
260641B0, 2, SX3048965B, ab,  120.0,  variable, 1,  wye, 14.59, 0.97
260643A0, 2, SX2692660A, ab,  120.0,  variable, 1,  wye, 17.74, 0.97
260647A0, 2, SX2805034A, ab,  120.0,  variable, 1,  wye, 3.55, 0.97
260648A0, 2, SX2898522A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
260650A0, 2, SX2692661A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
262075C0, 2, SX3067448C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
274903C0, 2, SX2935552C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
274985C0, 2, SX2822864C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
274986C0, 2, SX2822865C, ab,  120.0,  variable, 1,  wye, 4.07, 0.97
274987C0, 2, SX2916605C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
274988C0, 2, SX3085394C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
274992C0, 2, SX2804250C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
274994C0, 2, SX3048205C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
274997C0, 2, SX3048228C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
274999C0, 2, SX2935550C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
275000C0, 2, SX2710509C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
275001C0, 2, SX2822862C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
275002C0, 2, SX3066806C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
275007C0, 2, SX2916606C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
275008C0, 2, SX3235243C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
275247B0, 2, SX2786273B, ab,  120.0,  variable, 1,  wye, 9.73, 0.97
275248B0, 2, SX2805036B, ab,  120.0,  variable, 1,  wye, 3.89, 0.97
293422C0, 2, SX3178997C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
293423B0, 2, SX3122849B, ab,  120.0,  variable, 1,  wye, 5.84, 0.97
293424C0, 2, SX2766750C, ab,  120.0,  variable, 1,  wye, 15.26, 0.97
293425A0, 2, SX2763153A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
293427C0, 2, SX3104157C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
293471A0, 2, SX_293471A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
293471B0, 2, SX_293471B, ab,  120.0,  variable, 1,  wye, 9.73, 0.97
293471C0, 2, SX_293471C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
293480A0, 2, SX2748158A, ab,  120.0,  variable, 1,  wye, 5.32, 0.97
293483A0, 2, SX3104133A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
293486C0, 2, SX2673346C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
293487B0, 2, SX3254238B, ab,  120.0,  variable, 1,  wye, 9.73, 0.97
293490C0, 2, SX3048230C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
293492C0, 2, SX2841637C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
293518B0, 2, SX2897780B, ab,  120.0,  variable, 1,  wye, 9.73, 0.97
293519B0, 2, SX3235255B, ab,  120.0,  variable, 1,  wye, 1.95, 0.97
293521A0, 2, SX3216370A, ab,  120.0,  variable, 1,  wye, 3.55, 0.97
293521B0, 2, SX3216370B, ab,  120.0,  variable, 1,  wye, 3.89, 0.97
293521C0, 2, SX3216370C, ab,  120.0,  variable, 1,  wye, 4.07, 0.97
293522A0, 2, SX2785527A, ab,  120.0,  variable, 1,  wye, 5.32, 0.97
293523A0, 2, SX2766729A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
293591A0, 2, SX3197641A, ab,  120.0,  variable, 1,  wye, 5.32, 0.97
293592A0, 2, SX2973161A, ab,  120.0,  variable, 1,  wye, 13.30, 0.97
293608C0, 2, SX2673306C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
293609C0, 2, SX2785515C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
293644A0, 2, SX2729429A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
293645A0, 2, SX2841633A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
293652A0, 2, SX3235258A, ab,  120.0,  variable, 1,  wye, 5.32, 0.97
293652B0, 2, SX3235258B, ab,  120.0,  variable, 1,  wye, 14.59, 0.97
293652C0, 2, SX3235258C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
293655A0, 2, SX2729414A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
293655B0, 2, SX2729414B, ab,  120.0,  variable, 1,  wye, 9.73, 0.97
293655C0, 2, SX2729414C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
293656B0, 2, SX2973167B, ab,  120.0,  variable, 1,  wye, 5.84, 0.97
293657B0, 2, SX3189189B, ab,  120.0,  variable, 1,  wye, 5.84, 0.97
293658C0, 2, SX3189188C, ab,  120.0,  variable, 1,  wye, 20.34, 0.97
293659C0, 2, SX2935560C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
293660B0, 2, SX2916610B, ab,  120.0,  variable, 1,  wye, 9.73, 0.97
293663C0, 2, SX3216368C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
293664A0, 2, SX3207907A, ab,  120.0,  variable, 1,  wye, 17.74, 0.97
293664B0, 2, SX3207907B, ab,  120.0,  fixed,    1,  wye, 29.18, 0.97
293664C0, 2, SX3207907C, ab,  120.0,  variable, 1,  wye, 20.34, 0.97
293665C0, 2, SX2973166C, ab,  120.0,  variable, 1,  wye, 10.17, 0.97
293666C0, 2, SX2710532C, ab,  120.0,  variable, 1,  wye, 4.07, 0.97
293667A0, 2, SX2860504A, ab,  120.0,  variable, 1,  wye, 5.32, 0.97
293668A0, 2, SX3085403A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
293672A0, 2, SX2954355A, ab,  120.0,  variable, 1,  wye, 5.32, 0.97
293673A0, 2, SX3122827A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
293681A0, 2, SX3195751A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
294786C0, 2, SX2766724C, ab,  120.0,  variable, 1,  wye, 6.10, 0.97
294787A0, 2, SX3197647A, ab,  120.0,  variable, 1,  wye, 3.55, 0.97
294788A0, 2, SX2821010A, ab,  120.0,  variable, 1,  wye, 13.30, 0.97
294789A0, 2, SX2895461A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
294809A0, 2, SX2952014A, ab,  120.0,  variable, 1,  wye, 5.32, 0.97
294810A0, 2, SX3010585A, ab,  120.0,  variable, 1,  wye, 13.30, 0.97
294812A0, 2, SX3120502A, ab,  120.0,  variable, 1,  wye, 5.32, 0.97
294842A0, 2, SX3101789A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
294843A0, 2, SX3178982A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
294844A0, 2, SX2841623A, ab,  120.0,  variable, 1,  wye, 5.32, 0.97
294845A0, 2, SX3010563A, ab,  120.0,  variable, 1,  wye, 5.32, 0.97
302367B0, 2, SX2766727B, ab,  120.0,  variable, 1,  wye, 5.84, 0.97
302368B0, 2, SX3029507B, ab,  120.0,  variable, 1,  wye, 9.73, 0.97
302369B0, 2, SX3197643B, ab,  120.0,  variable, 1,  wye, 9.73, 0.97
302370B0, 2, SX3122823B, ab,  120.0,  variable, 1,  wye, 9.73, 0.97
302373B0, 2, SX2766726B, ab,  120.0,  variable, 1,  wye, 5.84, 0.97
302374B0, 2, SX2785526B, ab,  120.0,  variable, 1,  wye, 5.84, 0.97
302375B0, 2, SX2973162B, ab,  120.0,  variable, 1,  wye, 5.84, 0.97
302392A0, 2, SX3010570A, ab,  120.0,  variable, 1,  wye, 5.32, 0.97
302400A0, 2, SX2991919A, ab,  120.0,  variable, 1,  wye, 5.32, 0.97
302402A0, 2, SX3122824A, ab,  120.0,  variable, 1,  wye, 5.32, 0.97
302405A0, 2, SX2860489A, ab,  120.0,  variable, 1,  wye, 5.32, 0.97
302410A0, 2, SX3104131A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
302412A0, 2, SX3048210A, ab,  120.0,  variable, 1,  wye, 13.30, 0.97
302468A0, 2, SX2897778A, ab,  120.0,  variable, 1,  wye, 3.55, 0.97
302469A0, 2, SX3104132A, ab,  120.0,  variable, 1,  wye, 5.32, 0.97
302471A0, 2, SX3085402A, ab,  120.0,  variable, 1,  wye, 13.30, 0.97
302473A0, 2, SX2804252A, ab,  120.0,  variable, 1,  wye, 8.87, 0.97
