#   Primary   circuit    line   definitions   
Name, Bus1, Phases, Bus2, Phases, Length, Units, LineCode,  Status   
HVMV_Sub_connector, _HVMV_Sub_LSB, ABC,   HVMV_Sub_48332, ABC,  0.01, km, 3PH-Connector  
LN5835131-1, L2935549, ABC, M1069420, ABC,  0.096022455, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5956499-3, Q14411, ABC, M1069428, ABC,  0.045358185, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6350537-1, M1026905, ABC, M1026907, ABC,  0.12617881, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6169252-1, M1047548, ABC, M1047552, ABC,  0.019359109, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6169248-1, L2879070, ABC, L3216345, ABC,  0.089300859, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6290203-1, M1069424, ABC, L2935549, ABC,  0.088596305, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5517002-2, L3143999, ABC, M1069350, ABC,  0.002950729, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5865268-3, N1139260, ABC, L2925506, ABC,  0.10220529, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5742811-3, L2820531, ABC, N1137992, ABC,  0.037420411, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6229829-3, N1138598, ABC, M1069376, ABC,  0.014821554, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6047576-1, M1047490, ABC, L2726973, ABC,  0.072453304, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6411383-1, L3235254, ABC, M1026855, ABC,  0.10123214, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5965099-11, N1144668, ABC, M4113347, ABC,  0.029610516, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6380838-1, L2766741, ABC, M1069382, ABC,  0.061136932, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6012046-1, M1047486, ABC, M1047484, ABC,  0.099727563, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6229829-2, L2822877, ABC, N1138598, ABC,  0.02327281, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6229793-1, M1069483, ABC, M1069481, ABC,  0.050953357, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6163390-1, L3103822, ABC, M1047577, ABC,  0.11707709, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6259987-1, M1047483, ABC, M1047480, ABC,  0.079587956, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5860423-4, Q14733, ABC, M1047568, ABC,  0.014963062, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6077781-2, M1047534, ABC, N1136663, ABC,  0.11473566, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6375549-3, N1138599, ABC, L3181545, ABC,  0.063193336, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5860423-3, 190-8593, ABC, D5860423-3_INT, ABC,  0.008028039, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6169257-1, M1026861, ABC, M1026858, ABC,  0.162944, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6350533-4, M1069420, ABC, M4277837, ABC,  0.17048585, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5860423-1, L2841632, ABC, regxfmr_190-8593, ABC,  0.025125717, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5486729-1, M1069311, ABC, M1069310, ABC,  0.000560638, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6169246-1, L3010560, ABC, M1047483, ABC,  0.032611808, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6383460-1, 196-29519, ABC, L3066815, ABC,  0.034212456, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5965099-10, M1069350, ABC, N1144668, ABC,  0.026748079, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6422809-4, N1136666, ABC, M1047528, ABC,  0.029773341, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6201697-1, M1026896, ABC, P827525, ABC,  0.014425495, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6380822-1, M1026854, ABC, M1026852, ABC,  0.13122769, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5526906-1, L3120484, ABC, M1026896, ABC,  0.10349147, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5517002-9, N1138604, ABC, L3143999, ABC,  0.078126157, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5965099-9, N1138607, ABC, L3159448, ABC,  0.064313474, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6290228-2, M1069514, ABC, N1136657, ABC,  0.012244688, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5895812-1, M1069382, ABC, L2822877, ABC,  0.038731708, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5835144-1, L3066815, ABC, M1047548, ABC,  0.044393747, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5804800-1, M1047568, ABC, M1047558, ABC,  0.090560526, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6134514-2, L3160109, ABC, M1047497, ABC,  0.071936457, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6290228-7, Q16642_CAP, ABC, R42246, ABC,  0.00454099, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6290228-6, N1136657, ABC, D6290228-6_INT, ABC,  0.053233733, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5593251-1, M1069464, ABC, M1069461, ABC,  0.080336373, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6106657-1, M1069481, ABC, L2745848, ABC,  0.026870119, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6077774-1, M1047480, ABC, M1069483, ABC,  0.11398234, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5653460-6, M3768670, ABC, L3235254, ABC,  0.074320985, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6350556-3, N1136367, ABC, M1069515, ABC,  0.038498335, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5863704-2, L2858166, ABC, N1136667, ABC,  0.088858912, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5804805-1, L3235257, ABC, L2822871, ABC,  0.11047921, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6350544-2, M1047552, ABC, N1136669, ABC,  0.028659335, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5532785-1, M1069468, ABC, M1069464, ABC,  0.073122501, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5956457-2, M1069417, ABC, N1138597, ABC,  0.031773723, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5835173-1, L3216367, ABC, M1069468, ABC,  0.04134682, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6258443-1, M1069461, ABC, L2876798, ABC,  0.04901646, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5532753-1, L3122821, ABC, M1047486, ABC,  0.13791251, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5502528-1, M1026830, ABC, L2879070, ABC,  0.05247537, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5835160-1, M1069515, ABC, M1069514, ABC,  0.045780623, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5965099-2, L3159448, ABC, M1069311, ABC,  0.002488518, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5985039-1, M1026902, ABC, M1026905, ABC,  0.099398669, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5562932-1, M1047522, ABC, M1047521, ABC,  0.10307458, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5532758-3, Q14413, ABC, M1026886, ABC,  0.1042582, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6199557-1, L2673308, ABC, L2991939, ABC,  0.11260967, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5683810-1, M1069419, ABC, M1069418, ABC,  0.048491679, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5956499-2, L2766749, ABC, D5956499-2_INT, ABC,  0.040739038, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5742811-4, N1137992, ABC, 196-29520, ABC,  0.004539509, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5800830-1, 196-29520, ABC, L3160109, ABC,  0.064648533, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5895788-1, M1026852, ABC, L3197646, ABC,  0.10323464, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5502543-2, M1026872, ABC, D5502543-2_INT, ABC,  0.091211804, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6169261-1, L2822872, ABC, M1047490, ABC,  0.092823918, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5517002-3, L3125349, ABC, N1138604, ABC,  0.060300362, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6375549-4, M1069376, ABC, N1138599, ABC,  0.021995614, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5532748-6, M3763619, ABC, M1026830, ABC,  0.042081798, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5653480-1, L2691967, ABC, M1069504, ABC,  0.045726354, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5502569-1, M1069438, ABC, L2766749, ABC,  0.068016871, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5829831-1, M1047485, ABC, L3122821, ABC,  0.19680998, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6350544-3, N1136669, ABC, L3103822, ABC,  0.060571448, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6290228-5, R42246, ABC, L2691967, ABC,  0.042448529, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5956470-1, M1047558, ABC, M1047550, ABC,  0.054832551, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5526906-2, M1026886, ABC, L3120484, ABC,  0.001817619, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6422809-3, M1047526, ABC, N1136666, ABC,  0.011176327, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5653460-5, L3216345, ABC, M3768670, ABC,  0.075804756, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5965099-8, M4113347, ABC, N1138607, ABC,  0.023221022, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6077781-3, N1136663, ABC, M1047522, ABC,  0.047309655, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6350542-1, M1047550, ABC, M1047534, ABC,  0.099742445, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6350533-5, M4277837, ABC, M1069419, ABC,  0.068968458, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5865268-2, M1069457, ABC, N1139260, ABC,  0.006837993, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5502542-1, M1026851, ABC, L3235257, ABC,  0.030041576, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5956487-1, M1069411, ABC, L2766741, ABC,  0.087157015, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5686079-1, P827525, ABC, M1026902, ABC,  0.09909393, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6047604-1, M1069428, ABC, M1069424, ABC,  0.076660914, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5739188-1, L2726973, ABC, M1047485, ABC,  0.084637173, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN5956457-3, N1138597, ABC, M1069411, ABC,  0.04788032, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_ACSR   
LN6259996-1, M1047521, ABC, M1047526, ABC,  0.041988572, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR2_WPAL   
LN5898194-1, M1186065, ABC, P829977, ABC,  0.092323259, km,   3PH_H-2/0_ACSR2/0_ACSR2/0_ACSR4_ACSR   
LN5558792-1, M1026808, ABC, M1026807, ABC,  0.005029501, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN5926310-2, M1026744, ABC, N1140817, ABC,  0.029536448, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN6290217-1, M1026690, ABC, L2879078, ABC,  0.096363859, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN5622467-4, L3139366, ABC, M4362177, ABC,  0.1156061, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN6290233-1, M1026709, ABC, M1026701, ABC,  0.058611852, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN5653488-1, M1026997, ABC, M1027000, ABC,  0.060314072, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN6073575-3, N1140521, ABC, L3254217, ABC,  0.03591932, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN6290216-1, M1026769, ABC, L2841633, ABC,  0.008550947, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN6073575-2, M1026807, ABC, N1140521, ABC,  0.018347309, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN6380813-1, M1026970, ABC, M1026977, ABC,  0.062532526, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN6108145-1, L2879078, ABC, M1026681, ABC,  0.059593245, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN6017294-1, M1027000, ABC, L2916608, ABC,  0.066846915, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN6017293-1, M1026960, ABC, M1026970, ABC,  0.079435722, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN6411407-1, M1026701, ABC, M1026697, ABC,  0.061157918, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN7167521-1, M4362177, ABC, M1186052, ABC,  0.06550446, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN5865249-1, M1026697, ABC, M1026690, ABC,  0.061840714, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN5728479-1, M1108387, ABC, M1108398, ABC,  0.030480145, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN5593229-1, M1026984, ABC, M1026986, ABC,  0.072005543, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN5604685-1, M1089143, ABC, M1089145, ABC,  0.074066753, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN6286965-1, M1026726, ABC, L2814529, ABC,  0.039576611, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN5835167-6, L3048221, ABC, D5835167-6_INT, ABC,  0.068084433, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN5653470-1, M1026702, ABC, L2729414, ABC,  0.049898074, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN5926310-3, N1140817, ABC, L3235258, ABC,  0.01579042, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN6425615-1, L3254237, ABC, M1108387, ABC,  0.14020837, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN6199517-1, M1026977, ABC, M1026978, ABC,  0.059795426, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN6047580-2, M1026681, ABC, L3048221, ABC,  0.06449491, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN5472394-1, M1026708, ABC, M1026709, ABC,  0.000731906, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN6028890-1, M1089145, ABC, L3215385, ABC,  0.035965867, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN6506306-2, L2851933, ABC, L3207907, ABC,  0.023620312, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN6108143-1, L3254217, ABC, M1026800, ABC,  0.061863273, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN5472403-2, N1140828, ABC, M1026708, ABC,  0.012172307, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN6896673-7, M3763624, ABC, M3763618, ABC,  0.005455986, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN6169251-1, M1026978, ABC, M1026979, ABC,  0.004560032, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN6260021-1, M1026986, ABC, M1026997, ABC,  0.15205151, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN5472403-3, M1026706, ABC, N1140828, ABC,  0.11928996, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN5604685-2, M1089145, ABC, L3047289, ABC,  0.074065967, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN6506307-4, L3207907, ABC, M3037441, ABC,  0.002424228, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN6896673-6, M3763619, ABC, M3763624, ABC,  0.014386384, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN5622467-1, M1186061, ABC, L3139366, ABC,  0.14065441, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN6290210-1, M1026979, ABC, M1026984, ABC,  0.070736498, km,   3PH_H-2_ACSR2_ACSR2_ACSR2_ACSR 
LN5655838-1, P829977, ABC, M1186061, ABC,  0.07476375, km,   3PH_H-2_ACSR2_ACSR4_ACSR4_ACSR 
LN5591710-3, L3232902, ABC, M4122658, ABC,  0.038895348, km,   3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR 
LN5927298-1, M1108490, ABC, L3142049, ABC,  0.044113147, km,   3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR 
LN5894212-1, M1069549, ABC, M1069556, ABC,  0.059186808, km,   3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR 
LN5863714-2, E182729, ABC, M1069503, ABC,  0.007621311, km,   3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR 
LN6286109-1, M1125960, ABC, M1125962, ABC,  0.012579768, km,   3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR 
LN6023352-1, L2842383, ABC, D6023352-1_INT, ABC,  0.052958573, km,   3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR 
LN5508630-1, M1166376, ABC, L2842384, ABC,  0.005246984, km,   3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR 
LN5542283-1, M1209772, ABC, E192258, ABC,  0.17433574, km,   3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR 
LN5920279-2, N1142100, ABC, M1108490, ABC,  0.01329296, km,   3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR 
LN6170256-1, L3067478, ABC, M1125994, ABC,  0.1046688, km,   3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR 
LN6047557-2, M1069496, ABC, N1134475, ABC,  0.059547747, km,   3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR 
LN6231998-1, R18245, ABC, E182746, ABC,  0.032052645, km,   3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR 
LN6290240-3, M1069564, ABC, N1136363, ABC,  0.035926005, km,   3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR 
LN5833624-3, N1134480, ABC, M1069519, ABC,  0.019045497, km,   3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR 
LN5503576-1, M1125934, ABC, L2730163, ABC,  0.063376308, km,   3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR 
LN5894212-2, M1069556, ABC, M1069564, ABC,  0.090515718, km,   3PH_H-397_ACSR397_ACSR397_ACSR2/0_ACSR 
